Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,23001,开奖日期：2023-01-02,每周一、三、六21:15开奖,"18,19,24,27,34","11,12",2.45 亿,11.25 亿,5+2,0,0,5+1,64,191196,5+0,189,10000,4+2,645,3000,4+1,12711,300,3+2,16890,200,4,38807,100,3+1/2+2,536413,15,"3/
                                    1+2/
                                    2+1/
                                    2",19,19,0,0,0,152956
大乐透,23002,开奖日期：2023-01-04,每周一、三、六21:15开奖,"11,14,21,26,27","2,7",2.55 亿,11.54 亿,5+2,3,10000000,5+1,48,282518,5+0,167,10000,4+2,572,3000,4+1,11125,300,3+2,18676,200,4,26230,100,3+1/2+2,529942,15,"3/
                                    1+2/
                                    2+1/
                                    2",21,21,0,0,0,226014
大乐透,23003,开奖日期：2023-01-07,每周一、三、六21:15开奖,"5,6,14,21,22","2,9",2.82 亿,11.41 亿,5+2,6,10000000,5+1,96,131395,5+0,200,10000,4+2,740,3000,4+1,14445,300,3+2,21690,200,4,32372,100,3+1/2+2,616323,15,"3/
                                    1+2/
                                    2+1/
                                    2",6389060,5,2,8000000,49,105116
大乐透,23004,开奖日期：2023-01-09,每周一、三、六21:15开奖,"4,13,15,20,22","4,8",2.58 亿,11.57 亿,5+2,3,10000000,5+1,106,100245,5+0,194,10000,4+2,845,3000,4+1,17799,300,3+2,28885,200,4,34663,100,3+1/2+2,768054,15,"3/
                                    1+2/
                                    2+1/
                                    2",7363531,5,0,0,30,80196
大乐透,23005,开奖日期：2023-01-11,每周一、三、六21:15开奖,"1,3,10,20,29","6,11",2.72 亿,11.51 亿,5+2,5,10000000,5+1,113,83679,5+0,223,10000,4+2,1370,3000,4+1,20911,300,3+2,36584,200,4,40042,100,3+1/2+2,886293,15,"3/
                                    1+2/
                                    2+1/
                                    2",7970600,5,0,0,43,66943
大乐透,23006,开奖日期：2023-01-14,每周一、三、六21:15开奖,"2,4,12,27,35","6,7",2.87 亿,11.66 亿,5+2,2,10000000,5+1,123,93427,5+0,183,10000,4+2,907,3000,4+1,18548,300,3+2,29764,200,4,33491,100,3+1/2+2,873354,15,"3/
                                    1+2/
                                    2+1/
                                    2",12,12,2,8000000,2,74741
大乐透,23007,开奖日期：2023-01-16,每周一、三、六21:15开奖,"2,3,24,30,32","1,6",2.70 亿,12.15 亿,5+2,2,10000000,5+1,48,338929,5+0,126,10000,4+2,402,3000,4+1,9133,300,3+2,15484,200,4,24006,100,3+1/2+2,477105,15,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,0,0,0,271143
大乐透,23008,开奖日期：2023-01-18,每周一、三、六21:15开奖,"4,9,17,22,25","1,5",3.23 亿,11.54 亿,5+2,11,6668897,5+1,243,37136,5+0,483,10000,4+2,1516,3000,4+1,35844,300,3+2,43229,200,4,55260,100,3+1/2+2,1372160,15,"3/
                                    1+2/
                                    2+1/
                                    2",9,9,5,5335117,5,29708
大乐透,23009,开奖日期：2023-01-30,每周一、三、六21:15开奖,"1,5,11,15,33","1,10",2.88 亿,11.68 亿,5+2,3,10000000,5+1,89,167200,5+0,243,10000,4+2,647,3000,4+1,17571,300,3+2,20003,200,4,44049,100,3+1/2+2,696601,15,"3/
                                    1+2/
                                    2+1/
                                    2",11,11,2,8000000,2,133760
大乐透,23010,开奖日期：2023-02-01,每周一、三、六21:15开奖,"5,6,13,23,26","1,6",2.72 亿,11.45 亿,5+2,7,8119275,5+1,377,20484,5+0,1628,10000,4+2,740,3000,4+1,28604,300,3+2,16227,200,4,139563,100,3+1/2+2,682780,15,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,0,0,0,16387
