Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2013001,开奖日期：2013-01-01,每周二、四、日21:15开奖,"6,8,14,15,24,25",6,3.09 亿,0.30 亿,6+1,20,5250000,6+0,271,71485,5+1,2102,3000,5+0/4+1,86580,200,4+0/3+1,1412922,10,2+1/1+1/0+1,9831878,5
双色球,2013002,开奖日期：2013-01-03,每周二、四、日21:15开奖,"1,16,18,22,28,30",12,3.04 亿,0.62 亿,6+1,4,6250000,6+0,63,352455,5+1,1065,3000,5+0/4+1,57348,200,4+0/3+1,1069854,10,2+1/1+1/0+1,9898902,5
双色球,2013003,开奖日期：2013-01-06,每周二、四、日21:15开奖,"22,23,26,27,28,33",9,3.68 亿,0.99 亿,6+1,4,6250000,6+0,90,271770,5+1,1175,3000,5+0/4+1,60772,200,4+0/3+1,1185339,10,2+1/1+1/0+1,14229062,5
双色球,2013004,开奖日期：2013-01-08,每周二、四、日21:15开奖,"6,10,16,20,27,32",8,3.37 亿,0.36 亿,6+1,17,5294117,6+0,152,61143,5+1,2811,3000,5+0/4+1,113204,200,4+0/3+1,1683406,10,2+1/1+1/0+1,17258164,5
双色球,2013005,开奖日期：2013-01-10,每周二、四、日21:15开奖,"1,13,14,25,31,32",12,3.39 亿,0.49 亿,6+1,11,5454545,6+0,117,251894,5+1,1354,3000,5+0/4+1,64619,200,4+0/3+1,1208188,10,2+1/1+1/0+1,7795223,5
双色球,2013006,开奖日期：2013-01-13,每周二、四、日21:15开奖,"9,10,13,17,22,30",13,3.74 亿,0.83 亿,6+1,8,5625000,6+0,178,176778,5+1,1334,3000,5+0/4+1,71365,200,4+0/3+1,1367177,10,2+1/1+1/0+1,9320773,5
双色球,2013007,开奖日期：2013-01-15,每周二、四、日21:15开奖,"2,9,15,22,26,32",1,3.41 亿,1.52 亿,6+1,2,7500000,6+0,148,228327,5+1,827,3000,5+0/4+1,48103,200,4+0/3+1,981846,10,2+1/1+1/0+1,6529758,5
双色球,2013008,开奖日期：2013-01-17,每周二、四、日21:15开奖,"3,8,17,21,25,32",15,3.42 亿,1.70 亿,6+1,6,8240712,6+0,311,93782,5+1,1478,3000,5+0/4+1,77997,200,4+0/3+1,1425465,10,2+1/1+1/0+1,7194060,5
双色球,2013009,开奖日期：2013-01-20,每周二、四、日21:15开奖,"1,4,9,13,16,23",2,3.84 亿,1.96 亿,6+1,4,9535536,6+0,100,272132,5+1,1499,3000,5+0/4+1,79465,200,4+0/3+1,1476369,10,2+1/1+1/0+1,12427170,5
双色球,2013010,开奖日期：2013-01-22,每周二、四、日21:15开奖,"1,9,11,17,32,33",12,3.48 亿,2.24 亿,6+1,5,9286306,6+0,74,434422,5+1,1054,3000,5+0/4+1,51499,200,4+0/3+1,1029207,10,2+1/1+1/0+1,7893200,5
双色球,2013011,开奖日期：2013-01-24,每周二、四、日21:15开奖,"3,12,17,24,27,29",9,3.50 亿,2.00 亿,6+1,11,6118580,6+0,113,163332,5+1,2231,3000,5+0/4+1,100181,200,4+0/3+1,1706219,10,2+1/1+1/0+1,13264200,5
双色球,2013012,开奖日期：2013-01-27,每周二、四、日21:15开奖,"6,14,17,22,28,29",2,3.89 亿,2.61 亿,6+1,3,10000000,6+0,144,270305,5+1,986,3000,5+0/4+1,60828,200,4+0/3+1,1295443,10,2+1/1+1/0+1,6568315,5
