Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2021001,开奖日期：2021-01-03,每周二、四、日21:15开奖,"2,3,13,18,20,31",11,4.11 亿,7.10 亿,6+1,10,7034106,6+0,126,201796,5+1,1794,3000,5+0/4+1,84577,200,4+0/3+1,1553167,10,2+1/1+1/0+1,12387835,5
双色球,2021002,开奖日期：2021-01-05,每周二、四、日21:15开奖,"6,10,13,25,26,32",11,3.74 亿,7.18 亿,6+1,10,7105919,6+0,185,142291,5+1,1421,3000,5+0/4+1,73241,200,4+0/3+1,1406559,10,2+1/1+1/0+1,9034147,5
双色球,2021003,开奖日期：2021-01-07,每周二、四、日21:15开奖,"6,9,16,18,22,29",11,3.61 亿,7.54 亿,6+1,5,9406368,6+0,136,202498,5+1,1371,3000,5+0/4+1,66938,200,4+0/3+1,1327624,10,2+1/1+1/0+1,7143214,5
双色球,2021004,开奖日期：2021-01-10,每周二、四、日21:15开奖,"2,3,7,8,17,22",15,3.97 亿,8.25 亿,6+1,2,10000000,6+0,208,145638,5+1,1114,3000,5+0/4+1,72913,200,4+0/3+1,1543803,10,2+1/1+1/0+1,7953405,5
双色球,2021005,开奖日期：2021-01-12,每周二、四、日21:15开奖,"7,9,14,26,30,31",4,3.60 亿,8.07 亿,6+1,14,6353946,6+0,76,311764,5+1,1515,3000,5+0/4+1,76343,200,4+0/3+1,1389048,10,2+1/1+1/0+1,9560127,5
双色球,2021006,开奖日期：2021-01-14,每周二、四、日21:15开奖,"6,8,22,24,25,26",1,3.68 亿,8.22 亿,6+1,10,7377222,6+0,194,153171,5+1,938,3000,5+0/4+1,55395,200,4+0/3+1,1170832,10,2+1/1+1/0+1,7161782,5
双色球,2021007,开奖日期：2021-01-17,每周二、四、日21:15开奖,"2,4,12,21,25,32",16,3.89 亿,8.85 亿,6+1,3,10000000,6+0,104,298114,5+1,851,3000,5+0/4+1,53412,200,4+0/3+1,1154564,10,2+1/1+1/0+1,8385470,5
双色球,2021008,开奖日期：2021-01-19,每周二、四、日21:15开奖,"1,5,7,14,18,33",7,3.58 亿,9.06 亿,6+1,4,8728131,6+0,86,216751,5+1,1307,3000,5+0/4+1,74215,200,4+0/3+1,1420459,10,2+1/1+1/0+1,13589776,5
双色球,2021009,开奖日期：2021-01-21,每周二、四、日21:15开奖,"2,4,7,24,25,32",13,3.67 亿,9.52 亿,6+1,4,10000000,6+0,57,502273,5+1,839,3000,5+0/4+1,48800,200,4+0/3+1,1023809,10,2+1/1+1/0+1,8591142,5
双色球,2021010,开奖日期：2021-01-24,每周二、四、日21:15开奖,"1,4,11,19,32,33",5,3.95 亿,9.76 亿,6+1,7,8060622,6+0,129,207600,5+1,1485,3000,5+0/4+1,61961,200,4+0/3+1,1207796,10,2+1/1+1/0+1,11480560,5
双色球,2021011,开奖日期：2021-01-26,每周二、四、日21:15开奖,"5,10,16,23,27,33",14,3.58 亿,9.07 亿,6+1,18,5425200,6+0,228,41960,5+1,4092,3000,5+0/4+1,143134,200,4+0/3+1,1902016,10,2+1/1+1/0+1,15488908,5
双色球,2021012,开奖日期：2021-01-28,每周二、四、日21:15开奖,"3,6,14,18,20,26",1,3.65 亿,8.62 亿,6+1,17,5854248,6+0,218,83269,5+1,3232,3000,5+0/4+1,131613,200,4+0/3+1,2066088,10,2+1/1+1/0+1,9959544,5
双色球,2021013,开奖日期：2021-01-31,每周二、四、日21:15开奖,"6,9,12,16,27,31",6,0.00 亿,0.00 亿,6+1,0,0,6+0,0,0,5+1,0,3000,5+0/4+1,0,200,4+0/3+1,0,10,2+1/1+1/0+1,0,5
双色球,2021014,开奖日期：2021-02-02,每周二、四、日21:15开奖,"4,15,21,25,29,33",6,3.65 亿,8.60 亿,6+1,3,10000000,6+0,96,270821,5+1,1092,3000,5+0/4+1,59870,200,4+0/3+1,1156375,10,2+1/1+1/0+1,9611054,5
双色球,2021015,开奖日期：2021-02-04,每周二、四、日21:15开奖,"6,14,16,26,28,29",7,3.73 亿,8.75 亿,6+1,6,7672352,6+0,93,215512,5+1,1766,3000,5+0/4+1,80567,200,4+0/3+1,1485225,10,2+1/1+1/0+1,13293032,5
双色球,2021016,开奖日期：2021-02-07,每周二、四、日21:15开奖,"3,8,9,13,15,18",10,4.48 亿,8.44 亿,6+1,16,6134153,6+0,192,118140,5+1,2667,3000,5+0/4+1,127578,200,4+0/3+1,2306554,10,2+1/1+1/0+1,14404133,5
双色球,2021017,开奖日期：2021-02-21,每周二、四、日21:15开奖,"9,15,18,29,32,33",2,4.42 亿,8.80 亿,6+1,6,8959033,6+0,116,255972,5+1,1241,3000,5+0/4+1,64086,200,4+0/3+1,1262820,10,2+1/1+1/0+1,13771604,5
双色球,2021018,开奖日期：2021-02-23,每周二、四、日21:15开奖,"2,8,14,23,25,32",6,0.00 亿,0.00 亿,6+1,0,0,6+0,0,0,5+1,0,3000,5+0/4+1,0,200,4+0/3+1,0,10,2+1/1+1/0+1,0,5
双色球,2021019,开奖日期：2021-02-25,每周二、四、日21:15开奖,"12,16,17,24,28,29",8,3.51 亿,9.16 亿,6+1,6,6344519,6+0,104,96960,5+1,2630,3000,5+0/4+1,111444,200,4+0/3+1,1792877,10,2+1/1+1/0+1,16740762,5
双色球,2021020,开奖日期：2021-02-28,每周二、四、日21:15开奖,"1,3,6,7,9,11",2,0.00 亿,0.00 亿,6+1,0,0,6+0,0,0,5+1,0,3000,5+0/4+1,0,200,4+0/3+1,0,10,2+1/1+1/0+1,0,5
双色球,2021021,开奖日期：2021-03-02,每周二、四、日21:15开奖,"4,8,17,24,28,33",13,3.51 亿,8.34 亿,6+1,19,5979263,6+0,155,150048,5+1,1569,3000,5+0/4+1,67589,200,4+0/3+1,1196524,10,2+1/1+1/0+1,9727982,5
双色球,2021022,开奖日期：2021-03-04,每周二、四、日21:15开奖,"10,15,17,25,31,32",6,3.62 亿,8.71 亿,6+1,3,10000000,6+0,84,266346,5+1,1454,3000,5+0/4+1,77079,200,4+0/3+1,1424865,10,2+1/1+1/0+1,10733570,5
双色球,2021023,开奖日期：2021-03-07,每周二、四、日21:15开奖,"2,21,22,23,27,28",11,3.98 亿,9.03 亿,6+1,4,9744205,6+0,85,279070,5+1,1493,3000,5+0/4+1,78678,200,4+0/3+1,1452819,10,2+1/1+1/0+1,13077370,5
双色球,2021024,开奖日期：2021-03-09,每周二、四、日21:15开奖,"1,4,6,10,11,18",2,3.60 亿,9.36 亿,6+1,5,9223370,6+0,139,189899,5+1,1532,3000,5+0/4+1,71981,200,4+0/3+1,1379701,10,2+1/1+1/0+1,7650897,5
