Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,18001,开奖日期：2018-01-01,每周一、三、六21:15开奖,"1,13,22,25,35","3,4",2.15 亿,44.80 亿,5+2,4,9138300,5+1,47,249848,5+0,469,9297,4+2,20124,200,4+1,422228,10,3+2,4628794,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,3,5482980,3,149908
大乐透,18002,开奖日期：2018-01-03,每周一、三、六21:15开奖,"12,20,23,27,34","1,6",2.08 亿,44.44 亿,5+2,11,6484151,5+1,77,108436,5+0,866,3648,4+2,40769,200,4+1,730284,10,3+2,6423795,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",34,34,1,3890490,1,65061
大乐透,18003,开奖日期：2018-01-06,每周一、三、六21:15开奖,"4,21,23,24,30","9,10",2.27 亿,44.41 亿,5+2,5,8556199,5+1,60,172793,5+0,617,6361,4+2,27438,200,4+1,598895,10,3+2,6209405,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,2,5133719,2,103675
大乐透,18004,开奖日期：2018-01-08,每周一、三、六21:15开奖,"4,9,22,28,30","1,10",2.06 亿,44.46 亿,5+2,4,9787367,5+1,56,186520,5+0,662,6152,4+2,24218,200,4+1,466484,10,3+2,4616264,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",4,4,1,5872420,1,111912
大乐透,18005,开奖日期：2018-01-10,每周一、三、六21:15开奖,"4,9,23,24,30","8,11",2.08 亿,44.36 亿,5+2,6,7758568,5+1,174,48824,5+0,1057,3032,4+2,39666,200,4+1,664369,10,3+2,5983211,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,1,4655140,1,29294
大乐透,18006,开奖日期：2018-01-13,每周一、三、六21:15开奖,"19,20,30,32,33","3,5",2.29 亿,44.83 亿,5+2,0,0,5+1,121,79115,5+0,891,4082,4+2,37969,200,4+1,710417,10,3+2,6367983,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",19,19,0,0,0,47469
大乐透,18007,开奖日期：2018-01-15,每周一、三、六21:15开奖,"3,4,28,31,34","4,11",2.10 亿,45.04 亿,5+2,2,10000000,5+1,41,263162,5+0,613,6669,4+2,21865,200,4+1,428083,10,3+2,4515350,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",4,4,2,6000000,2,157897
大乐透,18008,开奖日期：2018-01-17,每周一、三、六21:15开奖,"9,15,17,20,22","10,11",2.12 亿,45.10 亿,5+2,3,9822295,5+1,47,225457,5+0,1099,4133,4+2,21233,200,4+1,444283,10,3+2,4692348,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",9,9,3,5893377,3,135274
大乐透,18009,开奖日期：2018-01-20,每周一、三、六21:15开奖,"10,12,28,30,34","3,4",2.30 亿,45.70 亿,5+2,0,0,5+1,38,338952,5+0,391,11983,4+2,19508,200,4+1,403202,10,3+2,4587833,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,0,0,0,203371
大乐透,18010,开奖日期：2018-01-22,每周一、三、六21:15开奖,"24,25,26,28,29","4,12",2.09 亿,45.88 亿,5+2,2,10000000,5+1,74,136700,5+0,521,7654,4+2,23242,200,4+1,470156,10,3+2,5027120,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",25,25,2,6000000,2,82020
大乐透,18011,开奖日期：2018-01-24,每周一、三、六21:15开奖,"3,13,15,23,26","1,10",2.03 亿,46.41 亿,5+2,0,0,5+1,37,309639,5+0,405,10361,4+2,18693,200,4+1,376342,10,3+2,4010894,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",15,15,0,0,0,185783
大乐透,18012,开奖日期：2018-01-27,每周一、三、六21:15开奖,"3,22,24,29,34","7,11",2.19 亿,46.35 亿,5+2,6,8218993,5+1,109,92558,5+0,659,5945,4+2,29672,200,4+1,593428,10,3+2,5765261,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",29,29,1,4931395,1,55534
大乐透,18013,开奖日期：2018-01-29,每周一、三、六21:15开奖,"8,24,31,33,35","7,10",2.03 亿,46.85 亿,5+2,0,0,5+1,43,245948,5+0,474,8147,4+2,24294,200,4+1,466401,10,3+2,4443448,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",24,24,0,0,0,147568
大乐透,18014,开奖日期：2018-01-31,每周一、三、六21:15开奖,"14,16,18,24,31","1,8",2.04 亿,47.27 亿,5+2,1,10000000,5+1,53,188566,5+0,374,10855,4+2,18197,200,4+1,411248,10,3+2,4287834,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,0,0,0,113139
大乐透,18015,开奖日期：2018-02-03,每周一、三、六21:15开奖,"4,13,15,18,29","5,11",2.21 亿,47.54 亿,5+2,2,10000000,5+1,59,155659,5+0,748,4825,4+2,36400,200,4+1,655396,10,3+2,5911398,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,0,0,0,93395
大乐透,18016,开奖日期：2018-02-05,每周一、三、六21:15开奖,"1,2,12,13,23","9,12",2.03 亿,47.67 亿,5+2,3,10000000,5+1,81,108508,5+0,892,3773,4+2,31838,200,4+1,569617,10,3+2,5656881,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,0,0,0,65104
大乐透,18017,开奖日期：2018-02-07,每周一、三、六21:15开奖,"4,19,21,23,31","4,9",2.03 亿,47.72 亿,5+2,3,9929207,5+1,37,262613,5+0,667,5402,4+2,25491,200,4+1,492925,10,3+2,4951743,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,2,5957524,2,157567
大乐透,18018,开奖日期：2018-02-10,每周一、三、六21:15开奖,"6,8,13,24,28","6,12",2.26 亿,48.24 亿,5+2,0,0,5+1,63,176906,5+0,650,6112,4+2,27827,200,4+1,572685,10,3+2,5472910,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",28,28,0,0,0,106143
大乐透,18019,开奖日期：2018-02-12,每周一、三、六21:15开奖,"10,11,19,21,28","5,12",2.07 亿,48.66 亿,5+2,1,10000000,5+1,42,250933,5+0,590,6802,4+2,21902,200,4+1,440606,10,3+2,4441025,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",10,10,0,0,0,150559
大乐透,18020,开奖日期：2018-02-14,每周一、三、六21:15开奖,"1,10,13,14,21","9,12",2.24 亿,49.08 亿,5+2,1,10000000,5+1,45,251143,5+0,473,9448,4+2,19412,200,4+1,414362,10,3+2,4466194,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",21,21,1,6000000,1,150685
大乐透,18021,开奖日期：2018-02-24,每周一、三、六21:15开奖,"5,6,8,9,15","4,11",2.34 亿,49.42 亿,5+2,1,10000000,5+1,84,101227,5+0,923,3689,4+2,44650,200,4+1,821273,10,3+2,7284068,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",8,8,0,0,0,60736
大乐透,18022,开奖日期：2018-02-26,每周一、三、六21:15开奖,"2,10,19,33,35","5,6",2.02 亿,49.89 亿,5+2,0,0,5+1,43,223044,5+0,503,7433,4+2,25204,200,4+1,494801,10,3+2,5045083,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",33,33,0,0,0,133826
大乐透,18023,开奖日期：2018-02-28,每周一、三、六21:15开奖,"12,13,18,21,29","2,8",2.04 亿,50.16 亿,5+2,1,10000000,5+1,72,110789,5+0,988,2935,4+2,40735,200,4+1,695626,10,3+2,6297331,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,0,0,0,66473
大乐透,18024,开奖日期：2018-03-03,每周一、三、六21:15开奖,"2,16,24,30,32","4,7",2.30 亿,50.39 亿,5+2,3,10000000,5+1,29,383935,5+0,611,6680,4+2,29880,200,4+1,579460,10,3+2,5903265,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",32,32,0,0,0,230361
大乐透,18025,开奖日期：2018-03-05,每周一、三、六21:15开奖,"7,8,9,15,34","7,8",2.07 亿,50.48 亿,5+2,3,10000000,5+1,46,203072,5+0,963,3559,4+2,34125,200,4+1,569379,10,3+2,5381000,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",9,9,1,6000000,1,121843
大乐透,18026,开奖日期：2018-03-07,每周一、三、六21:15开奖,"1,2,3,4,30","3,5",2.06 亿,50.75 亿,5+2,2,10000000,5+1,108,82611,5+0,825,4307,4+2,26039,200,4+1,482655,10,3+2,5206907,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",4,4,0,0,0,49566
大乐透,18027,开奖日期：2018-03-10,每周一、三、六21:15开奖,"1,18,20,21,26","4,11",2.23 亿,50.86 亿,5+2,3,10000000,5+1,39,257805,5+0,785,4891,4+2,33827,200,4+1,599734,10,3+2,6335878,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,1,6000000,1,154683
大乐透,18028,开奖日期：2018-03-12,每周一、三、六21:15开奖,"4,19,25,30,35","4,7",2.10 亿,51.26 亿,5+2,1,10000000,5+1,60,175366,5+0,687,5670,4+2,25267,200,4+1,502589,10,3+2,4934123,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",4,4,0,0,0,105219
大乐透,18029,开奖日期：2018-03-14,每周一、三、六21:15开奖,"3,9,21,25,29","1,8",2.12 亿,51.34 亿,5+2,3,10000000,5+1,81,112385,5+0,850,3831,4+2,34168,200,4+1,624868,10,3+2,5963631,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",21,21,1,6000000,1,67431
大乐透,18030,开奖日期：2018-03-17,每周一、三、六21:15开奖,"5,18,21,28,32","9,11",2.30 亿,51.53 亿,5+2,2,10000000,5+1,130,68015,5+0,1037,3264,4+2,40837,200,4+1,778469,10,3+2,7022098,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",5,5,1,6000000,1,40809
大乐透,18031,开奖日期：2018-03-19,每周一、三、六21:15开奖,"3,8,13,17,23","5,11",2.12 亿,51.84 亿,5+2,1,10000000,5+1,83,115734,5+0,660,5698,4+2,29206,200,4+1,565037,10,3+2,5381497,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",23,23,1,6000000,1,69440
大乐透,18032,开奖日期：2018-03-21,每周一、三、六21:15开奖,"7,10,17,32,35","5,12",2.11 亿,52.25 亿,5+2,1,10000000,5+1,59,161202,5+0,558,7102,4+2,24728,200,4+1,464815,10,3+2,4889429,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",17,17,0,0,0,96721
大乐透,18033,开奖日期：2018-03-24,每周一、三、六21:15开奖,"2,3,19,23,34","4,9",2.31 亿,51.98 亿,5+2,9,6877616,5+1,113,65866,5+0,1085,3060,4+2,47046,200,4+1,773987,10,3+2,7052036,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",19,19,2,4126569,2,39519
大乐透,18034,开奖日期：2018-03-26,每周一、三、六21:15开奖,"8,11,22,27,32","3,7",2.12 亿,51.96 亿,5+2,5,8607549,5+1,110,78334,5+0,1088,3000,4+2,40547,200,4+1,732137,10,3+2,6253392,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",22,22,0,0,0,47000
大乐透,18035,开奖日期：2018-03-28,每周一、三、六21:15开奖,"5,7,10,12,24","7,11",2.11 亿,52.45 亿,5+2,0,0,5+1,73,129707,5+0,538,7071,4+2,27398,200,4+1,532135,10,3+2,5207150,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",5,5,0,0,0,77824
大乐透,18036,开奖日期：2018-03-31,每周一、三、六21:15开奖,"11,17,18,21,27","7,8",2.28 亿,52.98 亿,5+2,0,0,5+1,54,207387,5+0,676,6354,4+2,29082,200,4+1,564703,10,3+2,5553004,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",17,17,0,0,0,124432
大乐透,18037,开奖日期：2018-04-02,每周一、三、六21:15开奖,"1,3,27,30,31","2,11",2.06 亿,53.24 亿,5+2,2,10000000,5+1,52,183389,5+0,434,9357,4+2,18854,200,4+1,411175,10,3+2,4423935,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",27,27,1,6000000,1,110033
