Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2018001,开奖日期：2018-01-02,每周二、四、日21:15开奖,"1,8,11,26,28,31",4,3.67 亿,2.79 亿,6+1,22,5825255,6+0,191,118819,5+1,2029,3000,5+0/4+1,86396,200,4+0/3+1,1598202,10,2+1/1+1/0+1,9974842,5
双色球,2018002,开奖日期：2018-01-04,每周二、四、日21:15开奖,"7,18,24,29,31,33",16,3.52 亿,3.39 亿,6+1,3,10000000,6+0,94,319928,5+1,789,3000,5+0/4+1,49232,200,4+0/3+1,1054173,10,2+1/1+1/0+1,5848195,5
双色球,2018003,开奖日期：2018-01-07,每周二、四、日21:15开奖,"1,14,16,17,20,31",4,3.88 亿,3.85 亿,6+1,5,10000000,6+0,167,191008,5+1,814,3000,5+0/4+1,46597,200,4+0/3+1,995581,10,2+1/1+1/0+1,8173779,5
双色球,2018004,开奖日期：2018-01-09,每周二、四、日21:15开奖,"14,18,19,26,30,31",11,3.49 亿,3.58 亿,6+1,13,6082556,6+0,55,319846,5+1,1316,3000,5+0/4+1,66438,200,4+0/3+1,1258260,10,2+1/1+1/0+1,14195004,5
双色球,2018005,开奖日期：2018-01-11,每周二、四、日21:15开奖,"2,20,21,28,31,33",6,3.55 亿,4.24 亿,6+1,1,10000000,6+0,68,371062,5+1,782,3000,5+0/4+1,49202,200,4+0/3+1,1009539,10,2+1/1+1/0+1,10144039,5
双色球,2018006,开奖日期：2018-01-14,每周二、四、日21:15开奖,"2,7,8,9,17,29",11,3.88 亿,4.25 亿,6+1,11,6856113,6+0,172,148381,5+1,2073,3000,5+0/4+1,96099,200,4+0/3+1,1708775,10,2+1/1+1/0+1,9063964,5
双色球,2018007,开奖日期：2018-01-16,每周二、四、日21:15开奖,"13,14,20,25,27,31",12,3.54 亿,4.35 亿,6+1,8,7274011,6+0,132,172273,5+1,1559,3000,5+0/4+1,74171,200,4+0/3+1,1325995,10,2+1/1+1/0+1,9973072,5
双色球,2018008,开奖日期：2018-01-18,每周二、四、日21:15开奖,"5,9,10,12,17,19",13,3.60 亿,4.28 亿,6+1,11,6571365,6+0,144,150043,5+1,1428,3000,5+0/4+1,77385,200,4+0/3+1,1497762,10,2+1/1+1/0+1,11026247,5
双色球,2018009,开奖日期：2018-01-21,每周二、四、日21:15开奖,"5,10,17,23,26,32",7,3.84 亿,3.65 亿,6+1,17,5477449,6+0,221,45908,5+1,2633,3000,5+0/4+1,113710,200,4+0/3+1,1793617,10,2+1/1+1/0+1,19825084,5
双色球,2018010,开奖日期：2018-01-23,每周二、四、日21:15开奖,"1,8,17,20,21,22",3,3.51 亿,3.86 亿,6+1,6,8085375,6+0,71,325919,5+1,1077,3000,5+0/4+1,66389,200,4+0/3+1,1275468,10,2+1/1+1/0+1,10065162,5
双色球,2018011,开奖日期：2018-01-25,每周二、四、日21:15开奖,"3,10,21,23,27,33",11,3.37 亿,3.98 亿,6+1,8,7356371,6+0,138,170751,5+1,1226,3000,5+0/4+1,70033,200,4+0/3+1,1300934,10,2+1/1+1/0+1,8023678,5
双色球,2018012,开奖日期：2018-01-28,每周二、四、日21:15开奖,"11,12,13,19,26,28",12,3.67 亿,4.06 亿,6+1,8,7195022,6+0,129,170156,5+1,1934,3000,5+0/4+1,88183,200,4+0/3+1,1544615,10,2+1/1+1/0+1,10639470,5
双色球,2018013,开奖日期：2018-01-30,每周二、四、日21:15开奖,"6,8,13,15,22,33",6,3.38 亿,4.11 亿,6+1,9,7002470,6+0,99,227553,5+1,1177,3000,5+0/4+1,59570,200,4+0/3+1,1127998,10,2+1/1+1/0+1,9788351,5
双色球,2018014,开奖日期：2018-02-01,每周二、四、日21:15开奖,"9,12,20,24,28,31",7,3.42 亿,3.71 亿,6+1,17,5970693,6+0,103,200264,5+1,1365,3000,5+0/4+1,71239,200,4+0/3+1,1330607,10,2+1/1+1/0+1,10681021,5
双色球,2018015,开奖日期：2018-02-04,每周二、四、日21:15开奖,"11,15,20,21,26,33",15,3.73 亿,3.85 亿,6+1,6,7652271,6+0,172,115651,5+1,2163,3000,5+0/4+1,93501,200,4+0/3+1,1553583,10,2+1/1+1/0+1,12494933,5
双色球,2018016,开奖日期：2018-02-06,每周二、四、日21:15开奖,"1,11,12,18,25,27",16,3.38 亿,4.15 亿,6+1,4,9593701,6+0,98,234372,5+1,1261,3000,5+0/4+1,61624,200,4+0/3+1,1175404,10,2+1/1+1/0+1,9222140,5
双色球,2018017,开奖日期：2018-02-08,每周二、四、日21:15开奖,"3,6,11,26,30,32",12,3.42 亿,4.41 亿,6+1,5,8695830,6+0,68,339690,5+1,1084,3000,5+0/4+1,55799,200,4+0/3+1,1111406,10,2+1/1+1/0+1,9912890,5
双色球,2018018,开奖日期：2018-02-11,每周二、四、日21:15开奖,"2,12,13,18,25,27",7,3.65 亿,4.27 亿,6+1,12,6383135,6+0,214,96948,5+1,2261,3000,5+0/4+1,100526,200,4+0/3+1,1635361,10,2+1/1+1/0+1,10509848,5
双色球,2018019,开奖日期：2018-02-13,每周二、四、日21:15开奖,"3,11,12,16,21,23",9,3.53 亿,4.23 亿,6+1,8,6663708,6+0,80,207963,5+1,1677,3000,5+0/4+1,75265,200,4+0/3+1,1303129,10,2+1/1+1/0+1,14698811,5
双色球,2018020,开奖日期：2018-02-22,每周二、四、日21:15开奖,"6,9,10,14,28,30",5,3.23 亿,3.03 亿,6+1,33,5489962,6+0,212,95334,5+1,1594,3000,5+0/4+1,77343,200,4+0/3+1,1394295,10,2+1/1+1/0+1,8645684,5
双色球,2018021,开奖日期：2018-02-25,每周二、四、日21:15开奖,"3,4,6,11,23,28",14,3.65 亿,3.48 亿,6+1,3,10000000,6+0,216,116432,5+1,1175,3000,5+0/4+1,67620,200,4+0/3+1,1321924,10,2+1/1+1/0+1,9563662,5
双色球,2018022,开奖日期：2018-02-27,每周二、四、日21:15开奖,"7,14,19,21,22,23",3,3.34 亿,3.71 亿,6+1,6,8201615,6+0,111,216325,5+1,988,3000,5+0/4+1,56391,200,4+0/3+1,1137669,10,2+1/1+1/0+1,8361005,5
双色球,2018023,开奖日期：2018-03-01,每周二、四、日21:15开奖,"12,15,16,21,26,29",16,3.39 亿,4.20 亿,6+1,3,10000000,6+0,159,164899,5+1,906,3000,5+0/4+1,56937,200,4+0/3+1,1150655,10,2+1/1+1/0+1,7163214,5
双色球,2018024,开奖日期：2018-03-04,每周二、四、日21:15开奖,"11,19,22,26,31,32",2,3.73 亿,4.36 亿,6+1,9,7481039,6+0,81,344588,5+1,924,3000,5+0/4+1,55421,200,4+0/3+1,1127359,10,2+1/1+1/0+1,9242152,5
双色球,2018025,开奖日期：2018-03-06,每周二、四、日21:15开奖,"4,13,16,19,21,25",14,3.42 亿,5.13 亿,6+1,1,10000000,6+0,83,350024,5+1,700,3000,5+0/4+1,40970,200,4+0/3+1,881488,10,2+1/1+1/0+1,6414861,5
双色球,2018026,开奖日期：2018-03-08,每周二、四、日21:15开奖,"4,7,12,14,26,32",4,3.42 亿,5.38 亿,6+1,6,8313468,6+0,75,331346,5+1,1092,3000,5+0/4+1,59713,200,4+0/3+1,1094967,10,2+1/1+1/0+1,8397492,5
双色球,2018027,开奖日期：2018-03-11,每周二、四、日21:15开奖,"2,7,9,14,18,28",5,3.87 亿,5.62 亿,6+1,6,8250400,6+0,144,169291,5+1,1652,3000,5+0/4+1,87914,200,4+0/3+1,1565274,10,2+1/1+1/0+1,10744036,5
双色球,2018028,开奖日期：2018-03-13,每周二、四、日21:15开奖,"3,8,11,14,18,23",16,3.52 亿,5.78 亿,6+1,7,7676997,6+0,220,106471,5+1,1869,3000,5+0/4+1,82708,200,4+0/3+1,1493643,10,2+1/1+1/0+1,8341565,5
双色球,2018029,开奖日期：2018-03-15,每周二、四、日21:15开奖,"1,2,9,14,22,25",5,3.50 亿,6.07 亿,6+1,5,8926329,6+0,85,288700,5+1,941,3000,5+0/4+1,50833,200,4+0/3+1,1050933,10,2+1/1+1/0+1,9962632,5
双色球,2018030,开奖日期：2018-03-18,每周二、四、日21:15开奖,"13,14,20,21,25,33",7,3.88 亿,6.74 亿,6+1,1,10000000,6+0,98,260810,5+1,1097,3000,5+0/4+1,60282,200,4+0/3+1,1184057,10,2+1/1+1/0+1,12187127,5
双色球,2018031,开奖日期：2018-03-20,每周二、四、日21:15开奖,"2,16,18,19,27,30",14,3.45 亿,7.22 亿,6+1,3,10000000,6+0,116,224837,5+1,1092,3000,5+0/4+1,59834,200,4+0/3+1,1201239,10,2+1/1+1/0+1,7498833,5
双色球,2018032,开奖日期：2018-03-22,每周二、四、日21:15开奖,"21,22,23,24,25,32",6,3.51 亿,7.60 亿,6+1,3,10000000,6+0,127,179511,5+1,1392,3000,5+0/4+1,56340,200,4+0/3+1,1013760,10,2+1/1+1/0+1,11062382,5
双色球,2018033,开奖日期：2018-03-25,每周二、四、日21:15开奖,"4,19,20,22,28,33",6,3.76 亿,8.07 亿,6+1,3,10000000,6+0,88,289516,5+1,1047,3000,5+0/4+1,61280,200,4+0/3+1,1205558,10,2+1/1+1/0+1,11010817,5
双色球,2018034,开奖日期：2018-03-27,每周二、四、日21:15开奖,"1,5,11,22,23,26",15,3.49 亿,8.23 亿,6+1,8,7560160,6+0,122,209849,5+1,972,3000,5+0/4+1,63265,200,4+0/3+1,1241750,10,2+1/1+1/0+1,8078774,5
双色球,2018035,开奖日期：2018-03-29,每周二、四、日21:15开奖,"7,10,11,17,23,28",15,3.50 亿,8.56 亿,6+1,6,8809507,6+0,289,98862,5+1,960,3000,5+0/4+1,61476,200,4+0/3+1,1266529,10,2+1/1+1/0+1,5905178,5
双色球,2018036,开奖日期：2018-04-01,每周二、四、日21:15开奖,"8,17,24,26,28,33",4,3.76 亿,8.97 亿,6+1,4,10000000,6+0,117,231790,5+1,1164,3000,5+0/4+1,65905,200,4+0/3+1,1331597,10,2+1/1+1/0+1,9147831,5
双色球,2018037,开奖日期：2018-04-03,每周二、四、日21:15开奖,"1,6,7,8,27,30",10,3.36 亿,8.78 亿,6+1,12,6218823,6+0,137,133447,5+1,1564,3000,5+0/4+1,80258,200,4+0/3+1,1399994,10,2+1/1+1/0+1,11386145,5
双色球,2018038,开奖日期：2018-04-05,每周二、四、日21:15开奖,"15,23,24,25,28,29",9,3.03 亿,8.88 亿,6+1,5,7607731,6+0,75,217310,5+1,1074,3000,5+0/4+1,62936,200,4+0/3+1,1183137,10,2+1/1+1/0+1,11151282,5
双色球,2018039,开奖日期：2018-04-08,每周二、四、日21:15开奖,"8,12,18,19,23,32",3,3.68 亿,9.11 亿,6+1,6,8202095,6+0,168,142950,5+1,1616,3000,5+0/4+1,85718,200,4+0/3+1,1526784,10,2+1/1+1/0+1,9438240,5
双色球,2018040,开奖日期：2018-04-10,每周二、四、日21:15开奖,"1,3,8,13,18,23",16,3.42 亿,9.05 亿,6+1,11,6625737,6+0,283,78989,5+1,1676,3000,5+0/4+1,79774,200,4+0/3+1,1296903,10,2+1/1+1/0+1,8815038,5
双色球,2018041,开奖日期：2018-04-12,每周二、四、日21:15开奖,"7,8,20,23,24,32",13,3.43 亿,9.40 亿,6+1,4,9960334,6+0,64,387526,5+1,792,3000,5+0/4+1,49117,200,4+0/3+1,1003581,10,2+1/1+1/0+1,9287866,5
双色球,2018042,开奖日期：2018-04-15,每周二、四、日21:15开奖,"6,10,21,28,29,31",12,3.73 亿,9.13 亿,6+1,14,6113405,6+0,163,119537,5+1,2160,3000,5+0/4+1,100821,200,4+0/3+1,1688982,10,2+1/1+1/0+1,12297237,5
双色球,2018043,开奖日期：2018-04-17,每周二、四、日21:15开奖,"1,4,6,8,21,24",7,3.51 亿,9.22 亿,6+1,6,7386066,6+0,93,192424,5+1,1309,3000,5+0/4+1,60322,200,4+0/3+1,1178695,10,2+1/1+1/0+1,14486315,5
双色球,2018044,开奖日期：2018-04-19,每周二、四、日21:15开奖,"5,9,12,17,27,30",6,3.51 亿,8.46 亿,6+1,22,5550276,6+0,643,23534,5+1,3367,3000,5+0/4+1,140832,200,4+0/3+1,2082241,10,2+1/1+1/0+1,10521984,5
