Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2017001,开奖日期：2017-01-01,每周二、四、日21:15开奖,"9,11,14,20,25,26",15,3.76 亿,10.08 亿,6+1,9,7522351,6+0,184,154219,5+1,1511,3000,5+0/4+1,72564,200,4+0/3+1,1361887,10,2+1/1+1/0+1,7629153,5
双色球,2017002,开奖日期：2017-01-03,每周二、四、日21:15开奖,"15,19,23,24,25,32",3,3.33 亿,10.46 亿,6+1,4,10000000,6+0,67,391374,5+1,754,3000,5+0/4+1,42035,200,4+0/3+1,909104,10,2+1/1+1/0+1,7750722,5
双色球,2017003,开奖日期：2017-01-05,每周二、四、日21:15开奖,"1,4,8,15,27,32",16,3.28 亿,10.90 亿,6+1,3,10000000,6+0,80,305874,5+1,949,3000,5+0/4+1,53632,200,4+0/3+1,1044021,10,2+1/1+1/0+1,7791162,5
双色球,2017004,开奖日期：2017-01-08,每周二、四、日21:15开奖,"5,13,17,26,27,30",7,3.61 亿,10.46 亿,6+1,18,5946813,6+0,294,72460,5+1,1945,3000,5+0/4+1,99453,200,4+0/3+1,1728763,10,2+1/1+1/0+1,9756559,5
双色球,2017005,开奖日期：2017-01-10,每周二、四、日21:15开奖,"6,11,12,22,23,30",5,3.28 亿,10.18 亿,6+1,14,6083962,6+0,204,92986,5+1,2062,3000,5+0/4+1,92362,200,4+0/3+1,1524540,10,2+1/1+1/0+1,9032570,5
双色球,2017006,开奖日期：2017-01-12,每周二、四、日21:15开奖,"2,4,8,26,29,33",8,3.28 亿,10.20 亿,6+1,4,6946576,6+0,70,139041,5+1,1762,3000,5+0/4+1,85078,200,4+0/3+1,1456728,10,2+1/1+1/0+1,16966591,5
双色球,2017007,开奖日期：2017-01-15,每周二、四、日21:15开奖,"2,4,5,24,26,33",15,3.58 亿,10.50 亿,6+1,7,8376630,6+0,62,476540,5+1,696,3000,5+0/4+1,43002,200,4+0/3+1,937160,10,2+1/1+1/0+1,7445193,5
双色球,2017008,开奖日期：2017-01-17,每周二、四、日21:15开奖,"7,13,15,27,28,29",13,3.18 亿,10.40 亿,6+1,10,6455001,6+0,165,110227,5+1,1884,3000,5+0/4+1,83785,200,4+0/3+1,1393522,10,2+1/1+1/0+1,9381218,5
双色球,2017009,开奖日期：2017-01-19,每周二、四、日21:15开奖,"2,6,8,9,15,29",14,3.18 亿,10.44 亿,6+1,9,6976497,6+0,145,153348,5+1,1138,3000,5+0/4+1,64075,200,4+0/3+1,1249580,10,2+1/1+1/0+1,7658657,5
双色球,2017010,开奖日期：2017-01-22,每周二、四、日21:15开奖,"5,8,19,25,28,30",7,3.50 亿,9.14 亿,6+1,30,5251359,6+0,231,40805,5+1,3466,3000,5+0/4+1,144618,200,4+0/3+1,2086062,10,2+1/1+1/0+1,14760868,5
双色球,2017011,开奖日期：2017-01-24,每周二、四、日21:15开奖,"10,11,12,23,26,29",16,3.18 亿,9.15 亿,6+1,11,6835064,6+0,229,110184,5+1,912,3000,5+0/4+1,52206,200,4+0/3+1,1035140,10,2+1/1+1/0+1,6274457,5
双色球,2017012,开奖日期：2017-01-26,每周二、四、日21:15开奖,"10,11,14,15,16,24",7,3.29 亿,9.20 亿,6+1,9,7016617,6+0,80,283586,5+1,852,3000,5+0/4+1,49681,200,4+0/3+1,997407,10,2+1/1+1/0+1,9610963,5
