Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,21001,开奖日期：2021-01-02,每周一、三、六21:15开奖,"2,6,12,19,33","8,9",3.01 亿,8.01 亿,5+2,2,10000000,5+1,103,149825,5+0,204,10000,4+2,655,3000,4+1,17394,300,3+2,17754,200,4,39059,100,3+1/2+2,678521,15,"3/
                                    1+2/
                                    2+1/
                                    2",2,2,1,8000000,1,119860
大乐透,21002,开奖日期：2021-01-04,每周一、三、六21:15开奖,"2,16,26,31,34","9,11",2.78 亿,8.26 亿,5+2,3,10000000,5+1,68,223170,5+0,139,10000,4+2,523,3000,4+1,12130,300,3+2,19537,200,4,25020,100,3+1/2+2,621061,15,"3/
                                    1+2/
                                    2+1/
                                    2",2,2,1,8000000,1,178536
大乐透,21003,开奖日期：2021-01-06,每周一、三、六21:15开奖,"7,21,28,31,35","4,10",2.72 亿,8.11 亿,5+2,6,10000000,5+1,66,182605,5+0,208,10000,4+2,737,3000,4+1,15666,300,3+2,24620,200,4,38305,100,3+1/2+2,710756,15,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,1,8000000,1,146084
大乐透,21004,开奖日期：2021-01-09,每周一、三、六21:15开奖,"5,10,17,23,28","2,8",2.88 亿,7.42 亿,5+2,14,6781783,5+1,252,40037,5+0,611,10000,4+2,1292,3000,4+1,23898,300,3+2,29988,200,4,57037,100,3+1/2+2,815991,15,"3/
                                    1+2/
                                    2+1/
                                    2",28,28,4,5425426,4,32029
大乐透,21005,开奖日期：2021-01-11,每周一、三、六21:15开奖,"3,7,10,12,35","3,5",2.70 亿,7.82 亿,5+2,1,10000000,5+1,77,188779,5+0,125,10000,4+2,534,3000,4+1,12885,300,3+2,19823,200,4,25734,100,3+1/2+2,644250,15,"3/
                                    1+2/
                                    2+1/
                                    2",12,12,1,8000000,1,151023
大乐透,21006,开奖日期：2021-01-13,每周一、三、六21:15开奖,"4,22,25,28,35","4,5",2.73 亿,8.31 亿,5+2,1,10000000,5+1,67,176510,5+0,112,10000,4+2,617,3000,4+1,12775,300,3+2,22111,200,4,21797,100,3+1/2+2,660646,15,"3/
                                    1+2/
                                    2+1/
                                    2",25,25,0,0,0,141208
大乐透,21007,开奖日期：2021-01-16,每周一、三、六21:15开奖,"5,23,30,34,35","8,10",2.91 亿,8.55 亿,5+2,3,10000000,5+1,160,81104,5+0,472,10000,4+2,974,3000,4+1,21537,300,3+2,23570,200,4,57558,100,3+1/2+2,762189,15,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,0,0,0,64883
大乐透,21008,开奖日期：2021-01-18,每周一、三、六21:15开奖,"5,19,20,27,33","3,8",2.68 亿,8.21 亿,5+2,10,8342623,5+1,73,172279,5+0,208,10000,4+2,785,3000,4+1,13831,300,3+2,23223,200,4,36839,100,3+1/2+2,628201,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,6674098,1,137823
大乐透,21009,开奖日期：2021-01-20,每周一、三、六21:15开奖,"1,3,20,29,32","5,12",2.70 亿,8.65 亿,5+2,1,10000000,5+1,103,112661,5+0,197,10000,4+2,730,3000,4+1,15628,300,3+2,22189,200,4,36241,100,3+1/2+2,713835,15,"3/
                                    1+2/
                                    2+1/
                                    2",20,20,0,0,0,90128
大乐透,21010,开奖日期：2021-01-23,每周一、三、六21:15开奖,"1,5,16,22,34","8,11",2.93 亿,8.86 亿,5+2,4,10000000,5+1,98,153518,5+0,232,10000,4+2,618,3000,4+1,11825,300,3+2,18009,200,4,27136,100,3+1/2+2,573559,15,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,1,8000000,1,122814
大乐透,21011,开奖日期：2021-01-25,每周一、三、六21:15开奖,"6,9,11,14,21","1,3",2.65 亿,9.03 亿,5+2,2,10000000,5+1,299,35220,5+0,570,10000,4+2,724,3000,4+1,29346,300,3+2,18324,200,4,57045,100,3+1/2+2,773019,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,28176
大乐透,21012,开奖日期：2021-01-27,每周一、三、六21:15开奖,"6,12,20,23,33","1,9",2.67 亿,9.42 亿,5+2,1,10000000,5+1,93,124142,5+0,291,10000,4+2,476,3000,4+1,15822,300,3+2,15625,200,4,42609,100,3+1/2+2,610186,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,99313
大乐透,21013,开奖日期：2021-01-30,每周一、三、六21:15开奖,"21,27,28,30,34","8,11",2.93 亿,9.75 亿,5+2,4,10000000,5+1,59,281489,5+0,121,10000,4+2,420,3000,4+1,10382,300,3+2,14831,200,4,23720,100,3+1/2+2,531380,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,225191
大乐透,21014,开奖日期：2021-02-01,每周一、三、六21:15开奖,"7,13,20,27,29","4,9",2.69 亿,9.97 亿,5+2,3,10000000,5+1,99,114748,5+0,272,10000,4+2,947,3000,4+1,17023,300,3+2,27119,200,4,37510,100,3+1/2+2,704843,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,91798
大乐透,21015,开奖日期：2021-02-03,每周一、三、六21:15开奖,"4,8,17,19,25","1,7",2.72 亿,9.46 亿,5+2,10,6963705,5+1,259,37150,5+0,480,10000,4+2,895,3000,4+1,29079,300,3+2,23519,200,4,65907,100,3+1/2+2,907429,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,4,5570964,4,29720
大乐透,21016,开奖日期：2021-02-06,每周一、三、六21:15开奖,"8,9,10,19,34","1,2",3.11 亿,9.37 亿,5+2,6,10000000,5+1,82,186837,5+0,223,10000,4+2,824,3000,4+1,16821,300,3+2,22721,200,4,43921,100,3+1/2+2,698643,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,2,8000000,2,149469
大乐透,21017,开奖日期：2021-02-08,每周一、三、六21:15开奖,"17,21,26,29,32","2,7",3.35 亿,9.62 亿,5+2,5,10000000,5+1,75,221277,5+0,212,10000,4+2,750,3000,4+1,14249,300,3+2,26911,200,4,37184,100,3+1/2+2,747569,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,177021
大乐透,21018,开奖日期：2021-02-20,每周一、三、六21:15开奖,"2,20,23,26,34","5,10",2.89 亿,9.47 亿,5+2,6,10000000,5+1,75,174392,5+0,325,10000,4+2,817,3000,4+1,14062,300,3+2,31145,200,4,34883,100,3+1/2+2,815951,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,139513
大乐透,21019,开奖日期：2021-02-22,每周一、三、六21:15开奖,"1,12,13,28,29","3,4",2.69 亿,9.90 亿,5+2,1,10000000,5+1,134,76551,5+0,173,10000,4+2,747,3000,4+1,15276,300,3+2,23479,200,4,28842,100,3+1/2+2,711854,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,61240
大乐透,21020,开奖日期：2021-02-24,每周一、三、六21:15开奖,"7,21,22,30,33","4,6",2.66 亿,9.87 亿,5+2,4,10000000,5+1,176,52410,5+0,590,10000,4+2,972,3000,4+1,27825,300,3+2,25706,200,4,67139,100,3+1/2+2,874094,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,41928
大乐透,21021,开奖日期：2021-02-27,每周一、三、六21:15开奖,"16,18,29,33,35","9,12",2.92 亿,10.12 亿,5+2,3,10000000,5+1,74,185332,5+0,111,10000,4+2,810,3000,4+1,14192,300,3+2,25517,200,4,27335,100,3+1/2+2,707044,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,148265
大乐透,21022,开奖日期：2021-03-01,每周一、三、六21:15开奖,"2,12,22,30,33","2,4",2.68 亿,10.60 亿,5+2,2,10000000,5+1,51,302580,5+0,162,10000,4+2,357,3000,4+1,10726,300,3+2,13021,200,4,24754,100,3+1/2+2,461742,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,242064
大乐透,21023,开奖日期：2021-03-03,每周一、三、六21:15开奖,"7,9,13,16,32","2,9",2.70 亿,10.91 亿,5+2,2,10000000,5+1,70,187612,5+0,168,10000,4+2,631,3000,4+1,13553,300,3+2,21772,200,4,32139,100,3+1/2+2,635045,15,"3/
                                    1+2/
                                    2+1/
                                    2",16,16,1,8000000,1,150089
大乐透,21024,开奖日期：2021-03-06,每周一、三、六21:15开奖,"11,14,21,24,31","2,10",2.90 亿,10.99 亿,5+2,3,10000000,5+1,218,47504,5+0,775,10000,4+2,647,3000,4+1,26741,300,3+2,20111,200,4,100081,100,3+1/2+2,788751,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,38003
大乐透,21025,开奖日期：2021-03-08,每周一、三、六21:15开奖,"17,18,23,30,31","10,12",2.76 亿,11.49 亿,5+2,1,10000000,5+1,50,307329,5+0,168,10000,4+2,453,3000,4+1,11765,300,3+2,15134,200,4,34273,100,3+1/2+2,513660,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,245863
大乐透,21026,开奖日期：2021-03-10,每周一、三、六21:15开奖,"7,11,20,24,27","1,11",2.76 亿,11.74 亿,5+2,2,10000000,5+1,70,166283,5+0,227,10000,4+2,669,3000,4+1,16072,300,3+2,24860,200,4,38632,100,3+1/2+2,756321,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,8000000,1,133026
大乐透,21027,开奖日期：2021-03-13,每周一、三、六21:15开奖,"9,21,22,26,30","4,12",3.00 亿,11.38 亿,5+2,10,7998232,5+1,179,65296,5+0,379,10000,4+2,1360,3000,4+1,26741,300,3+2,30427,200,4,52492,100,3+1/2+2,927290,15,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,1,6398585,1,52236
