Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,19001,开奖日期：2019-01-02,每周一、三、六21:15开奖,"6,18,23,26,28","3,12",2.10 亿,71.42 亿,5+2,3,10000000,5+1,52,198774,5+0,651,6267,4+2,21410,200,4+1,418373,10,3+2,4298771,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",28,28,0,0,0,119264
大乐透,19002,开奖日期：2019-01-05,每周一、三、六21:15开奖,"2,7,14,22,31","1,7",2.25 亿,71.51 亿,5+2,3,10000000,5+1,128,73021,5+0,1288,3141,4+2,34951,200,4+1,613143,10,3+2,0,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,2,6000000,2,43812
大乐透,19003,开奖日期：2019-01-07,每周一、三、六21:15开奖,"4,8,18,20,32","10,12",2.07 亿,72.01 亿,5+2,0,0,5+1,47,208522,5+0,530,7291,4+2,21077,200,4+1,473255,10,3+2,4808188,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",20,20,0,0,0,125113
大乐透,19004,开奖日期：2019-01-09,每周一、三、六21:15开奖,"15,16,17,31,32","3,9",2.05 亿,71.61 亿,5+2,11,6339208,5+1,156,48698,5+0,990,2855,4+2,46734,200,4+1,699150,10,3+2,6305332,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",16,16,2,3803524,2,29218
大乐透,19005,开奖日期：2019-01-12,每周一、三、六21:15开奖,"21,26,27,29,34","5,6",2.27 亿,71.79 亿,5+2,2,10000000,5+1,159,56877,5+0,1048,3259,4+2,43096,200,4+1,746968,10,3+2,6727557,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",34,34,1,6000000,1,34126
大乐透,19006,开奖日期：2019-01-14,每周一、三、六21:15开奖,"14,17,19,25,30","4,8",2.12 亿,71.79 亿,5+2,3,8889205,5+1,89,73858,5+0,1595,1553,4+2,65028,200,4+1,921997,10,3+2,7044628,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",17,17,1,5333523,1,44314
大乐透,19007,开奖日期：2019-01-16,每周一、三、六21:15开奖,"3,12,16,29,32","1,5",2.13 亿,72.32 亿,5+2,0,0,5+1,74,147545,5+0,546,7362,4+2,24116,200,4+1,457184,10,3+2,4547271,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",12,12,0,0,0,88527
大乐透,19008,开奖日期：2019-01-19,每周一、三、六21:15开奖,"3,8,17,20,24","6,11",2.35 亿,71.75 亿,5+2,15,6366438,5+1,71,152933,5+0,843,4844,4+2,31834,200,4+1,569727,10,3+2,5790247,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",17,17,4,3819862,4,91759
大乐透,19009,开奖日期：2019-01-21,每周一、三、六21:15开奖,"3,9,15,18,26","6,12",2.09 亿,72.21 亿,5+2,0,0,5+1,106,81098,5+0,953,3637,4+2,34026,200,4+1,566640,10,3+2,5220771,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",15,15,0,0,0,48658
大乐透,19010,开奖日期：2019-01-23,每周一、三、六21:15开奖,"3,7,24,25,27","2,12",2.14 亿,72.56 亿,5+2,2,10000000,5+1,42,249760,5+0,491,8506,4+2,19464,200,4+1,423952,10,3+2,4532215,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",27,27,0,0,0,149856
大乐透,19011,开奖日期：2019-01-26,每周一、三、六21:15开奖,"4,12,13,16,17","4,9",2.29 亿,72.82 亿,5+2,2,10000000,5+1,66,143243,5+0,754,4812,4+2,41712,200,4+1,674975,10,3+2,6495871,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",16,16,0,0,0,85945
大乐透,19012,开奖日期：2019-01-28,每周一、三、六21:15开奖,"5,9,17,18,19","7,10",2.08 亿,72.70 亿,5+2,5,7293176,5+1,144,38914,5+0,1397,1629,4+2,56625,200,4+1,922937,10,3+2,7772024,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",5,5,1,4375905,1,23348
大乐透,19013,开奖日期：2019-01-30,每周一、三、六21:15开奖,"8,10,15,17,18","1,8",2.09 亿,72.62 亿,5+2,6,7771123,5+1,80,94273,5+0,1043,2868,4+2,44856,200,4+1,754803,10,3+2,6553263,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",8,8,0,0,0,56563
大乐透,19014,开奖日期：2019-02-02,每周一、三、六21:15开奖,"12,14,20,28,31","9,11",2.52 亿,72.82 亿,5+2,3,10000000,5+1,113,85181,5+0,931,4138,4+2,42540,200,4+1,808604,10,3+2,7397419,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",14,14,0,0,0,51108
大乐透,19015,开奖日期：2019-02-11,每周一、三、六21:15开奖,"2,5,10,13,30","4,6",2.01 亿,73.19 亿,5+2,1,10000000,5+1,57,179336,5+0,630,5380,4+2,24627,200,4+1,497396,10,3+2,4908751,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,0,0,0,107601
大乐透,19016,开奖日期：2019-02-13,每周一、三、六21:15开奖,"3,5,13,16,28","2,6",1.99 亿,73.36 亿,5+2,2,10000000,5+1,38,285331,5+0,489,7972,4+2,21693,200,4+1,423350,10,3+2,4310258,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,2,6000000,2,171198
