Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2005001,开奖日期：2005-01-02,每周二、四、日21:15开奖,"1,7,8,23,27,28",14,0.82 亿,1.30 亿,6+1,0,0,6+0,24,646669,5+1,336,3000,5+0/4+1,16348,200,4+0/3+1,293482,10,2+1/1+1/0+1,2193050,5
双色球,2005002,开奖日期：2005-01-04,每周二、四、日21:15开奖,"6,9,20,26,28,33",14,0.69 亿,1.31 亿,6+1,1,5000000,6+0,28,452441,5+1,395,3000,5+0/4+1,16687,200,4+0/3+1,301250,10,2+1/1+1/0+1,1651329,5
双色球,2005003,开奖日期：2005-01-06,每周二、四、日21:15开奖,"9,12,15,19,22,31",16,0.75 亿,1.07 亿,6+1,6,5000000,6+0,26,533517,5+1,223,3000,5+0/4+1,12806,200,4+0/3+1,252042,10,2+1/1+1/0+1,2190780,5
双色球,2005004,开奖日期：2005-01-09,每周二、四、日21:15开奖,"1,4,8,9,22,23",3,0.87 亿,0.94 亿,6+1,4,5000000,6+0,42,407984,5+1,234,3000,5+0/4+1,13668,200,4+0/3+1,251544,10,2+1/1+1/0+1,2474984,5
双色球,2005005,开奖日期：2005-01-11,每周二、四、日21:15开奖,"5,9,20,26,28,33",15,0.71 亿,1.01 亿,6+1,2,5000000,6+0,61,115589,5+1,270,3000,5+0/4+1,11369,200,4+0/3+1,202329,10,2+1/1+1/0+1,1201439,5
双色球,2005006,开奖日期：2005-01-13,每周二、四、日21:15开奖,"2,4,5,15,21,31",16,0.74 亿,0.98 亿,6+1,2,5000000,6+0,14,1311121,5+1,142,3000,5+0/4+1,8478,200,4+0/3+1,194398,10,2+1/1+1/0+1,1214304,5
双色球,2005007,开奖日期：2005-01-16,每周二、四、日21:15开奖,"7,15,17,20,23,33",15,0.86 亿,1.10 亿,6+1,2,5000000,6+0,15,609348,5+1,159,3000,5+0/4+1,8769,200,4+0/3+1,208128,10,2+1/1+1/0+1,1503703,5
双色球,2005008,开奖日期：2005-01-18,每周二、四、日21:15开奖,"11,19,22,27,32,33",11,0.72 亿,1.10 亿,6+1,1,5000000,6+0,26,467915,5+1,317,3000,5+0/4+1,14929,200,4+0/3+1,257635,10,2+1/1+1/0+1,2281517,5
双色球,2005009,开奖日期：2005-01-20,每周二、四、日21:15开奖,"2,17,22,27,29,31",14,0.74 亿,1.11 亿,6+1,1,5000000,6+0,11,1351424,5+1,144,3000,5+0/4+1,9027,200,4+0/3+1,195731,10,2+1/1+1/0+1,2172857,5
双色球,2005010,开奖日期：2005-01-23,每周二、四、日21:15开奖,"8,10,11,18,25,26",1,0.87 亿,0.92 亿,6+1,5,5000000,6+0,65,197430,5+1,701,3000,5+0/4+1,29017,200,4+0/3+1,458479,10,2+1/1+1/0+1,2318151,5
双色球,2005011,开奖日期：2005-01-25,每周二、四、日21:15开奖,"9,11,13,15,22,30",15,0.71 亿,1.03 亿,6+1,1,5000000,6+0,15,448184,5+1,190,3000,5+0/4+1,10292,200,4+0/3+1,226094,10,2+1/1+1/0+1,1491886,5
双色球,2005012,开奖日期：2005-01-27,每周二、四、日21:15开奖,"2,3,6,16,22,31",5,0.74 亿,0.98 亿,6+1,2,5000000,6+0,50,259107,5+1,306,3000,5+0/4+1,18025,200,4+0/3+1,328512,10,2+1/1+1/0+1,1942275,5
双色球,2005013,开奖日期：2005-01-30,每周二、四、日21:15开奖,"7,8,16,19,20,24",6,0.86 亿,0.60 亿,6+1,9,5000000,6+0,62,45678,5+1,1119,3000,5+0/4+1,43447,200,4+0/3+1,616194,10,2+1/1+1/0+1,2884774,5
双色球,2005014,开奖日期：2005-02-01,每周二、四、日21:15开奖,"13,19,21,23,30,32",5,0.70 亿,0.61 亿,6+1,3,5000000,6+0,18,388781,5+1,150,3000,5+0/4+1,9013,200,4+0/3+1,207241,10,2+1/1+1/0+1,1368869,5
双色球,2005015,开奖日期：2005-02-03,每周二、四、日21:15开奖,"4,8,9,16,17,29",15,0.72 亿,0.69 亿,6+1,1,5000000,6+0,43,128879,5+1,250,3000,5+0/4+1,13883,200,4+0/3+1,266216,10,2+1/1+1/0+1,2100932,5
双色球,2005016,开奖日期：2005-02-06,每周二、四、日21:15开奖,"1,5,6,12,16,30",15,0.86 亿,0.87 亿,6+1,0,0,6+0,27,284047,5+1,257,3000,5+0/4+1,14865,200,4+0/3+1,307963,10,2+1/1+1/0+1,1940253,5
双色球,2005017,开奖日期：2005-02-08,每周二、四、日21:15开奖,"2,6,10,25,27,31",3,0.69 亿,0.92 亿,6+1,2,5000000,6+0,17,370427,5+1,195,3000,5+0/4+1,11775,200,4+0/3+1,244368,10,2+1/1+1/0+1,1500719,5
双色球,2005018,开奖日期：2005-02-17,每周二、四、日21:15开奖,"1,3,6,22,23,25",6,0.71 亿,1.01 亿,6+1,1,5000000,6+0,22,275425,5+1,167,3000,5+0/4+1,9324,200,4+0/3+1,189902,10,2+1/1+1/0+1,2051129,5
双色球,2005019,开奖日期：2005-02-20,每周二、四、日21:15开奖,"6,11,12,13,19,22",8,0.80 亿,1.01 亿,6+1,1,5000000,6+0,17,697155,5+1,303,3000,5+0/4+1,16473,200,4+0/3+1,303009,10,2+1/1+1/0+1,3008775,5
