Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2023001,开奖日期：2023-01-01,每周二、四、日21:15开奖,"9,16,18,22,28,32",2,3.49 亿,16.31 亿,6+1,7,7738461,6+0,135,177492,5+1,1124,3000,5+0/4+1,59416,200,4+0/3+1,1175366,10,2+1/1+1/0+1,9632838,5
双色球,2023002,开奖日期：2023-01-03,每周二、四、日21:15开奖,"2,6,10,16,18,22",13,3.17 亿,16.52 亿,6+1,6,8064366,6+0,164,140138,5+1,918,3000,5+0/4+1,47658,200,4+0/3+1,929233,10,2+1/1+1/0+1,8407428,5
双色球,2023003,开奖日期：2023-01-05,每周二、四、日21:15开奖,"5,8,18,25,30,32",6,3.33 亿,16.56 亿,6+1,8,7009723,6+0,112,179439,5+1,1765,3000,5+0/4+1,75939,200,4+0/3+1,1372769,10,2+1/1+1/0+1,9666556,5
双色球,2023004,开奖日期：2023-01-08,每周二、四、日21:15开奖,"1,7,15,16,20,25",16,3.63 亿,16.71 亿,6+1,8,7480475,6+0,166,149426,5+1,1332,3000,5+0/4+1,67658,200,4+0/3+1,1237527,10,2+1/1+1/0+1,9727820,5
双色球,2023005,开奖日期：2023-01-10,每周二、四、日21:15开奖,"2,6,8,13,14,19",16,3.31 亿,17.26 亿,6+1,2,10000000,6+0,153,163847,5+1,1285,3000,5+0/4+1,66683,200,4+0/3+1,1325860,10,2+1/1+1/0+1,6305496,5
双色球,2023006,开奖日期：2023-01-12,每周二、四、日21:15开奖,"2,10,12,14,24,26",5,3.41 亿,17.11 亿,6+1,13,6407426,6+0,109,209822,5+1,881,3000,5+0/4+1,53803,200,4+0/3+1,1075091,10,2+1/1+1/0+1,10308938,5
双色球,2023007,开奖日期：2023-01-15,每周二、四、日21:15开奖,"5,6,9,22,25,31",3,3.58 亿,17.46 亿,6+1,3,10000000,6+0,160,134413,5+1,2448,3000,5+0/4+1,81291,200,4+0/3+1,1449914,10,2+1/1+1/0+1,10227477,5
双色球,2023008,开奖日期：2023-01-17,每周二、四、日21:15开奖,"5,13,18,20,26,28",6,3.68 亿,17.53 亿,6+1,9,7109708,6+0,146,162563,5+1,1625,3000,5+0/4+1,83325,200,4+0/3+1,1494522,10,2+1/1+1/0+1,9766329,5
双色球,2023009,开奖日期：2023-01-29,每周二、四、日21:15开奖,"3,4,19,23,30,32",6,3.70 亿,18.12 亿,6+1,2,10000000,6+0,225,116912,5+1,1077,3000,5+0/4+1,68661,200,4+0/3+1,1430319,10,2+1/1+1/0+1,9006142,5
双色球,2023010,开奖日期：2023-01-31,每周二、四、日21:15开奖,"4,5,13,18,27,29",12,3.36 亿,18.13 亿,6+1,8,6879623,6+0,220,85437,5+1,1778,3000,5+0/4+1,82148,200,4+0/3+1,1376420,10,2+1/1+1/0+1,10755945,5
双色球,2023011,开奖日期：2023-02-02,每周二、四、日21:15开奖,"6,7,16,17,21,22",4,3.45 亿,17.90 亿,6+1,13,6177691,6+0,252,75942,5+1,2493,3000,5+0/4+1,108502,200,4+0/3+1,1776280,10,2+1/1+1/0+1,9089746,5
双色球,2023012,开奖日期：2023-02-05,每周二、四、日21:15开奖,"3,4,7,22,26,30",6,3.78 亿,17.76 亿,6+1,14,6444594,6+0,270,93631,5+1,1774,3000,5+0/4+1,86777,200,4+0/3+1,1478716,10,2+1/1+1/0+1,9295591,5
双色球,2023013,开奖日期：2023-02-07,每周二、四、日21:15开奖,"6,10,14,22,23,33",13,3.52 亿,18.32 亿,6+1,2,10000000,6+0,81,313059,5+1,1431,3000,5+0/4+1,56683,200,4+0/3+1,1100696,10,2+1/1+1/0+1,8878417,5
双色球,2023014,开奖日期：2023-02-09,每周二、四、日21:15开奖,"6,7,18,23,27,30",5,3.55 亿,18.55 亿,6+1,5,8496068,6+0,147,148642,5+1,1600,3000,5+0/4+1,74461,200,4+0/3+1,1316652,10,2+1/1+1/0+1,10723699,5
双色球,2023015,开奖日期：2023-02-12,每周二、四、日21:15开奖,"2,3,14,21,29,32",8,3.93 亿,18.40 亿,6+1,10,6277056,6+0,195,81862,5+1,2139,3000,5+0/4+1,92167,200,4+0/3+1,1586131,10,2+1/1+1/0+1,17574386,5
双色球,2023016,开奖日期：2023-02-14,每周二、四、日21:15开奖,"14,16,19,23,28,30",3,3.63 亿,18.90 亿,6+1,2,10000000,6+0,79,296038,5+1,1179,3000,5+0/4+1,66102,200,4+0/3+1,1303555,10,2+1/1+1/0+1,10929071,5
双色球,2023017,开奖日期：2023-02-16,每周二、四、日21:15开奖,"5,11,18,20,26,28",12,3.85 亿,19.13 亿,6+1,6,8173990,6+0,195,122076,5+1,1941,3000,5+0/4+1,103778,200,4+0/3+1,1752753,10,2+1/1+1/0+1,9865832,5
双色球,2023018,开奖日期：2023-02-19,每周二、四、日21:15开奖,"10,12,17,19,25,31",13,4.28 亿,19.96 亿,6+1,1,10000000,6+0,380,81771,5+1,1565,3000,5+0/4+1,87584,200,4+0/3+1,1747337,10,2+1/1+1/0+1,9155933,5
双色球,2023019,开奖日期：2023-02-21,每周二、四、日21:15开奖,"6,12,26,28,29,32",15,4.00 亿,20.25 亿,6+1,7,8309157,6+0,110,263228,5+1,1110,3000,5+0/4+1,67015,200,4+0/3+1,1241666,10,2+1/1+1/0+1,10176090,5
双色球,2023020,开奖日期：2023-02-23,每周二、四、日21:15开奖,"1,12,17,18,26,27",5,3.95 亿,20.83 亿,6+1,2,10000000,6+0,92,284500,5+1,1530,3000,5+0/4+1,74178,200,4+0/3+1,1466070,10,2+1/1+1/0+1,10931382,5
双色球,2023021,开奖日期：2023-02-26,每周二、四、日21:15开奖,"2,5,6,19,21,27",4,4.30 亿,20.43 亿,6+1,21,6115562,6+0,186,157438,5+1,1705,3000,5+0/4+1,91746,200,4+0/3+1,1688932,10,2+1/1+1/0+1,10664945,5
双色球,2023022,开奖日期：2023-02-28,每周二、四、日21:15开奖,"10,11,18,19,23,31",3,3.94 亿,21.10 亿,6+1,1,10000000,6+0,112,229101,5+1,1293,3000,5+0/4+1,71044,200,4+0/3+1,1321007,10,2+1/1+1/0+1,11824049,5
双色球,2023023,开奖日期：2023-03-02,每周二、四、日21:15开奖,"5,8,10,15,24,25",9,3.94 亿,19.05 亿,6+1,41,5000000,6+0,258,6000,5+1,7074,3000,5+0/4+1,239808,200,4+0/3+1,2833383,10,2+1/1+1/0+1,19477194,5
双色球,2023024,开奖日期：2023-03-05,每周二、四、日21:15开奖,"3,6,9,17,27,28",3,4.24 亿,18.57 亿,6+1,21,5993974,6+0,487,53576,5+1,2560,3000,5+0/4+1,136377,200,4+0/3+1,2212602,10,2+1/1+1/0+1,9307901,5
双色球,2023025,开奖日期：2023-03-07,每周二、四、日21:15开奖,"4,16,20,21,31,32",14,3.84 亿,18.61 亿,6+1,10,6974384,6+0,118,209150,5+1,2098,3000,5+0/4+1,89817,200,4+0/3+1,1482967,10,2+1/1+1/0+1,10025391,5
双色球,2023026,开奖日期：2023-03-09,每周二、四、日21:15开奖,"1,18,26,30,31,33",3,3.82 亿,18.65 亿,6+1,12,6934784,6+0,98,296140,5+1,1408,3000,5+0/4+1,61694,200,4+0/3+1,1259674,10,2+1/1+1/0+1,8425756,5
双色球,2023027,开奖日期：2023-03-12,每周二、四、日21:15开奖,"8,10,22,27,32,33",8,4.06 亿,18.87 亿,6+1,5,8409682,6+0,88,242164,5+1,1665,3000,5+0/4+1,79112,200,4+0/3+1,1410908,10,2+1/1+1/0+1,15748363,5
双色球,2023028,开奖日期：2023-03-14,每周二、四、日21:15开奖,"5,7,10,17,20,22",14,3.78 亿,19.40 亿,6+1,4,10000000,6+0,151,205758,5+1,941,3000,5+0/4+1,60535,200,4+0/3+1,1281211,10,2+1/1+1/0+1,6652747,5
双色球,2023029,开奖日期：2023-03-16,每周二、四、日21:15开奖,"3,7,12,24,28,33",8,3.74 亿,19.68 亿,6+1,5,8837568,6+0,173,138640,5+1,1473,3000,5+0/4+1,81568,200,4+0/3+1,1422795,10,2+1/1+1/0+1,10469169,5
双色球,2023030,开奖日期：2023-03-19,每周二、四、日21:15开奖,"2,3,7,16,30,31",6,4.08 亿,19.85 亿,6+1,7,7680189,6+0,78,300662,5+1,1556,3000,5+0/4+1,82039,200,4+0/3+1,1541405,10,2+1/1+1/0+1,13888997,5
双色球,2023031,开奖日期：2023-03-21,每周二、四、日21:15开奖,"7,14,27,29,31,33",5,3.78 亿,20.32 亿,6+1,3,10000000,6+0,309,83076,5+1,1074,3000,5+0/4+1,64596,200,4+0/3+1,1191554,10,2+1/1+1/0+1,10876180,5
双色球,2023032,开奖日期：2023-03-23,每周二、四、日21:15开奖,"6,19,20,26,28,33",1,3.78 亿,20.05 亿,6+1,15,6158718,6+0,142,152999,5+1,1957,3000,5+0/4+1,91037,200,4+0/3+1,1647100,10,2+1/1+1/0+1,11579939,5
双色球,2023033,开奖日期：2023-03-26,每周二、四、日21:15开奖,"8,9,13,23,24,26",5,4.07 亿,20.42 亿,6+1,5,9565190,6+0,240,118885,5+1,1401,3000,5+0/4+1,82920,200,4+0/3+1,1663336,10,2+1/1+1/0+1,9580373,5
双色球,2023034,开奖日期：2023-03-28,每周二、四、日21:15开奖,"2,3,9,11,12,17",15,3.71 亿,20.74 亿,6+1,5,9140109,6+0,146,177230,5+1,1255,3000,5+0/4+1,69579,200,4+0/3+1,1458884,10,2+1/1+1/0+1,9249017,5
双色球,2023035,开奖日期：2023-03-30,每周二、四、日21:15开奖,"1,4,9,10,20,33",6,3.76 亿,20.76 亿,6+1,10,6874671,6+0,100,234333,5+1,2115,3000,5+0/4+1,82651,200,4+0/3+1,1474150,10,2+1/1+1/0+1,10593387,5
双色球,2023036,开奖日期：2023-04-02,每周二、四、日21:15开奖,"13,14,18,19,24,30",9,4.02 亿,19.93 亿,6+1,24,5566068,6+0,271,62664,5+1,2742,3000,5+0/4+1,112816,200,4+0/3+1,1783939,10,2+1/1+1/0+1,16094948,5
双色球,2023037,开奖日期：2023-04-04,每周二、四、日21:15开奖,"8,23,25,26,29,31",12,3.57 亿,19.56 亿,6+1,16,5978413,6+0,115,170158,5+1,1896,3000,5+0/4+1,89697,200,4+0/3+1,1580931,10,2+1/1+1/0+1,11489209,5
双色球,2023038,开奖日期：2023-04-06,每周二、四、日21:15开奖,"2,9,14,17,31,33",8,3.69 亿,19.48 亿,6+1,11,6553875,6+0,135,158265,5+1,1478,3000,5+0/4+1,70320,200,4+0/3+1,1326850,10,2+1/1+1/0+1,12700547,5
双色球,2023039,开奖日期：2023-04-09,每周二、四、日21:15开奖,"2,3,9,13,19,28",9,4.09 亿,19.77 亿,6+1,5,8903432,6+0,191,127730,5+1,2307,3000,5+0/4+1,110421,200,4+0/3+1,1808206,10,2+1/1+1/0+1,11165699,5
双色球,2023040,开奖日期：2023-04-11,每周二、四、日21:15开奖,"9,16,17,24,29,31",8,3.73 亿,20.07 亿,6+1,5,9001506,6+0,165,151572,5+1,1462,3000,5+0/4+1,71909,200,4+0/3+1,1312767,10,2+1/1+1/0+1,10145552,5
双色球,2023041,开奖日期：2023-04-13,每周二、四、日21:15开奖,"1,6,12,13,15,24",6,3.79 亿,20.49 亿,6+1,3,10000000,6+0,118,203861,5+1,1239,3000,5+0/4+1,67386,200,4+0/3+1,1262503,10,2+1/1+1/0+1,11936635,5
双色球,2023042,开奖日期：2023-04-16,每周二、四、日21:15开奖,"10,17,20,23,27,30",10,4.06 亿,20.44 亿,6+1,10,6650718,6+0,224,92116,5+1,3090,3000,5+0/4+1,115962,200,4+0/3+1,1866562,10,2+1/1+1/0+1,13099343,5
双色球,2023043,开奖日期：2023-04-18,每周二、四、日21:15开奖,"5,8,12,20,24,28",10,3.71 亿,19.97 亿,6+1,19,5909465,6+0,228,94736,5+1,2508,3000,5+0/4+1,104883,200,4+0/3+1,1584942,10,2+1/1+1/0+1,10169896,5
双色球,2023044,开奖日期：2023-04-20,每周二、四、日21:15开奖,"2,8,15,22,24,26",16,3.75 亿,20.13 亿,6+1,8,7544791,6+0,99,257049,5+1,1231,3000,5+0/4+1,71283,200,4+0/3+1,1233186,10,2+1/1+1/0+1,10383790,5
双色球,2023045,开奖日期：2023-04-23,每周二、四、日21:15开奖,"3,6,12,21,27,28",4,3.99 亿,20.02 亿,6+1,14,6523427,6+0,240,111083,5+1,2042,3000,5+0/4+1,95344,200,4+0/3+1,1674191,10,2+1/1+1/0+1,9351284,5
双色球,2023046,开奖日期：2023-04-25,每周二、四、日21:15开奖,"6,8,17,25,26,28",3,3.65 亿,20.28 亿,6+1,4,9222467,6+0,121,174482,5+1,1764,3000,5+0/4+1,84066,200,4+0/3+1,1561556,10,2+1/1+1/0+1,11332764,5
