Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2015001,开奖日期：2015-01-01,每周二、四、日21:15开奖,"1,7,9,16,20,23",6,3.90 亿,5.13 亿,6+1,8,8455559,6+0,125,176444,5+1,1915,3000,5+0/4+1,88485,200,4+0/3+1,1603348,10,2+1/1+1/0+1,12661963,5
双色球,2015002,开奖日期：2015-01-04,每周二、四、日21:15开奖,"7,15,16,25,28,32",5,4.45 亿,5.05 亿,6+1,13,7372062,6+0,152,171355,5+1,2094,3000,5+0/4+1,91955,200,4+0/3+1,1596960,10,2+1/1+1/0+1,14657531,5
双色球,2015003,开奖日期：2015-01-06,每周二、四、日21:15开奖,"10,15,20,23,24,31",15,3.89 亿,5.29 亿,6+1,5,10593703,6+0,98,229190,5+1,1344,3000,5+0/4+1,66738,200,4+0/3+1,1239828,10,2+1/1+1/0+1,14238884,5
双色球,2015004,开奖日期：2015-01-08,每周二、四、日21:15开奖,"2,14,15,16,23,24",10,3.92 亿,5.51 亿,6+1,5,10408414,6+0,84,253602,5+1,1485,3000,5+0/4+1,70216,200,4+0/3+1,1308032,10,2+1/1+1/0+1,15045639,5
双色球,2015005,开奖日期：2015-01-11,每周二、四、日21:15开奖,"7,10,16,17,18,32",15,4.34 亿,5.90 亿,6+1,7,10254852,6+0,142,235774,5+1,1383,3000,5+0/4+1,72464,200,4+0/3+1,1429891,10,2+1/1+1/0+1,9182818,5
双色球,2015006,开奖日期：2015-01-13,每周二、四、日21:15开奖,"1,10,11,29,31,33",13,3.82 亿,6.13 亿,6+1,7,9466873,6+0,156,170417,5+1,1171,3000,5+0/4+1,67200,200,4+0/3+1,1285696,10,2+1/1+1/0+1,10176982,5
双色球,2015007,开奖日期：2015-01-15,每周二、四、日21:15开奖,"1,7,9,17,20,33",8,3.97 亿,6.15 亿,6+1,8,8148741,6+0,96,197785,5+1,1675,3000,5+0/4+1,83479,200,4+0/3+1,1524644,10,2+1/1+1/0+1,16279256,5
双色球,2015008,开奖日期：2015-01-18,每周二、四、日21:15开奖,"4,7,10,16,20,22",3,4.41 亿,6.42 亿,6+1,6,10114138,6+0,146,177096,5+1,1775,3000,5+0/4+1,90410,200,4+0/3+1,1672987,10,2+1/1+1/0+1,14521675,5
双色球,2015009,开奖日期：2015-01-20,每周二、四、日21:15开奖,"4,7,14,17,21,25",14,4.06 亿,6.42 亿,6+1,13,7600598,6+0,171,1007366,5+1,1687,3000,5+0/4+1,79640,200,4+0/3+1,1378947,10,2+1/1+1/0+1,9037312,5
双色球,2015010,开奖日期：2015-01-22,每周二、四、日21:15开奖,"1,2,3,8,21,31",9,4.09 亿,6.51 亿,6+1,7,8682598,6+0,78,252855,5+1,1644,3000,5+0/4+1,87365,200,4+0/3+1,1619368,10,2+1/1+1/0+1,16572016,5
