Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,12001,开奖日期：2012-01-02,每周一、三、六21:15开奖,"7,27,28,32,33","1,12",0.83 亿,2.34 亿,5+2,5,5259017,5+1,138,12000,5+0,150,6000,4+2,733,3000,4+1,13161,600,3+2,42136,100,4,371679,10,3+1/2+2,2911834,5,"3/
                                    1+2/
                                    2+1/
                                    2",33,33,2,3155410,2,7200
大乐透,12002,开奖日期：2012-01-04,每周一、三、六21:15开奖,"3,11,14,26,29","7,8",0.86 亿,2.39 亿,5+2,1,10000000,5+1,31,105304,5+0,80,10000,4+2,192,3000,4+1,5931,600,3+2,20970,100,4,257849,10,3+1/2+2,2516936,5,"3/
                                    1+2/
                                    2+1/
                                    2",3,3,0,0,0,63182
大乐透,12003,开奖日期：2012-01-07,每周一、三、六21:15开奖,"16,22,24,33,34","3,10",0.97 亿,2.40 亿,5+2,2,8677334,5+1,21,233481,5+0,49,23303,4+2,337,3000,4+1,4459,600,3+2,20690,100,4,274791,10,3+1/2+2,2714694,5,"3/
                                    1+2/
                                    2+1/
                                    2",22,22,0,0,0,0
大乐透,12004,开奖日期：2012-01-09,每周一、三、六21:15开奖,"10,11,22,31,32","6,7",0.87 亿,2.54 亿,5+2,0,0,5+1,32,101974,5+0,81,9689,4+2,232,3000,4+1,6727,600,3+2,20577,100,4,262333,10,3+1/2+2,2556648,5,"3/
                                    1+2/
                                    2+1/
                                    2",10,10,0,0,0,61184
大乐透,12005,开奖日期：2012-01-11,每周一、三、六21:15开奖,"1,2,29,31,33","7,12",0.88 亿,2.69 亿,5+2,0,0,5+1,34,102548,5+0,172,6000,4+2,167,3000,4+1,6581,600,3+2,26098,100,4,260222,10,3+1/2+2,2441219,5,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,0,0,0,61528
大乐透,12006,开奖日期：2012-01-14,每周一、三、六21:15开奖,"3,20,22,25,27","1,9",0.95 亿,2.80 亿,5+2,1,10000000,5+1,29,163276,5+0,36,35538,4+2,165,3000,4+1,3645,600,3+2,14124,100,4,199238,10,3+1/2+2,2243754,5,"3/
                                    1+2/
                                    2+1/
                                    2",27,27,0,0,0,97965
大乐透,12007,开奖日期：2012-01-16,每周一、三、六21:15开奖,"4,5,13,17,25","7,10",0.84 亿,2.86 亿,5+2,1,10000000,5+1,39,91632,5+0,157,6047,4+2,272,3000,4+1,4,600,3+2,23548,100,4,198760,10,3+1/2+2,2130229,5,"3/
                                    1+2/
                                    2+1/
                                    2",25,25,0,0,0,54979
大乐透,12008,开奖日期：2012-01-18,每周一、三、六21:15开奖,"6,8,30,31,32","1,11",0.84 亿,2.90 亿,5+2,1,10000000,5+1,52,60706,5+0,171,6000,4+2,196,3000,4+1,6816,600,3+2,27073,100,4,264035,10,3+1/2+2,2450123,5,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,0,0,0,36423
大乐透,12009,开奖日期：2012-01-21,每周一、三、六21:15开奖,"6,14,20,29,35","9,10",1.03 亿,2.99 亿,5+2,1,10000000,5+1,32,136635,5+0,98,12322,4+2,165,3000,4+1,6186,600,3+2,24812,100,4,261422,10,3+1/2+2,2697544,5,"3/
                                    1+2/
                                    2+1/
                                    2",35,35,0,0,0,81981
大乐透,12010,开奖日期：2012-01-30,每周一、三、六21:15开奖,"25,26,29,32,34","5,7",0.81 亿,3.14 亿,5+2,0,0,5+1,34,102158,5+0,121,7098,4+2,182,3000,4+1,4987,600,3+2,21731,100,4,210881,10,3+1/2+2,2198086,5,"3/
                                    1+2/
                                    2+1/
                                    2",32,32,0,0,0,61294
