Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2006001,开奖日期：2006-01-01,每周二、四、日21:15开奖,"1,12,15,19,21,28",3,1.18 亿,1.02 亿,6+1,2,5000000,6+0,21,574119,5+1,318,3000,5+0/4+1,14882,200,4+0/3+1,308638,10,2+1/1+1/0+1,2130951,5
双色球,2006002,开奖日期：2006-01-03,每周二、四、日21:15开奖,"7,13,16,21,26,28",9,0.95 亿,0.83 亿,6+1,5,5000000,6+0,34,410238,5+1,398,3000,5+0/4+1,19318,200,4+0/3+1,336551,10,2+1/1+1/0+1,3603422,5
双色球,2006003,开奖日期：2006-01-05,每周二、四、日21:15开奖,"2,4,5,6,16,20",12,0.98 亿,0.82 亿,6+1,1,5000000,6+0,17,122071,5+1,441,3000,5+0/4+1,25749,200,4+0/3+1,466452,10,2+1/1+1/0+1,5956492,5
双色球,2006004,开奖日期：2006-01-08,每周二、四、日21:15开奖,"4,8,17,27,28,31",7,1.11 亿,0.63 亿,6+1,7,5000000,6+0,61,108151,5+1,672,3000,5+0/4+1,28607,200,4+0/3+1,470220,10,2+1/1+1/0+1,3965082,5
双色球,2006005,开奖日期：2006-01-10,每周二、四、日21:15开奖,"3,19,20,24,26,27",11,0.95 亿,0.63 亿,6+1,2,5000000,6+0,20,220721,5+1,540,3000,5+0/4+1,27594,200,4+0/3+1,469165,10,2+1/1+1/0+1,4010716,5
双色球,2006006,开奖日期：2006-01-12,每周二、四、日21:15开奖,"8,21,22,23,26,32",14,0.96 亿,0.61 亿,6+1,3,5000000,6+0,14,410559,5+1,433,3000,5+0/4+1,19585,200,4+0/3+1,350853,10,2+1/1+1/0+1,3818635,5
双色球,2006007,开奖日期：2006-01-15,每周二、四、日21:15开奖,"4,16,18,27,32,33",7,1.12 亿,0.77 亿,6+1,2,5000000,6+0,22,505261,5+1,225,3000,5+0/4+1,12947,200,4+0/3+1,267010,10,2+1/1+1/0+1,2340557,5
双色球,2006008,开奖日期：2006-01-17,每周二、四、日21:15开奖,"3,5,9,18,28,32",16,0.92 亿,0.65 亿,6+1,9,5000000,6+0,117,44871,5+1,912,3000,5+0/4+1,33893,200,4+0/3+1,509084,10,2+1/1+1/0+1,2575352,5
双色球,2006009,开奖日期：2006-01-19,每周二、四、日21:15开奖,"5,6,8,20,26,30",6,0.92 亿,0.54 亿,6+1,4,5000000,6+0,51,77187,5+1,637,3000,5+0/4+1,29831,200,4+0/3+1,493097,10,2+1/1+1/0+1,3824416,5
双色球,2006010,开奖日期：2006-01-22,每周二、四、日21:15开奖,"4,6,12,19,27,29",8,1.10 亿,0.30 亿,6+1,17,3878424,6+0,93,55595,5+1,1013,3000,5+0/4+1,41771,200,4+0/3+1,632538,10,2+1/1+1/0+1,3798119,5
