Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2016001,开奖日期：2016-01-03,每周二、四、日21:15开奖,"6,13,16,18,20,22",13,3.88 亿,10.22 亿,6+1,5,9582130,6+0,154,185963,5+1,1333,3000,5+0/4+1,78260,200,4+0/3+1,1515613,10,2+1/1+1/0+1,8195629,5
双色球,2016002,开奖日期：2016-01-05,每周二、四、日21:15开奖,"9,14,17,20,24,30",16,3.43 亿,10.50 亿,6+1,5,8790536,6+0,231,102557,5+1,1432,3000,5+0/4+1,73976,200,4+0/3+1,1355966,10,2+1/1+1/0+1,8140564,5
双色球,2016003,开奖日期：2016-01-07,每周二、四、日21:15开奖,"1,10,14,23,26,28",1,3.52 亿,10.47 亿,6+1,12,6751087,6+0,170,154507,5+1,1393,3000,5+0/4+1,68455,200,4+0/3+1,1310007,10,2+1/1+1/0+1,7271818,5
双色球,2016004,开奖日期：2016-01-10,每周二、四、日21:15开奖,"8,10,17,22,25,33",12,3.76 亿,10.54 亿,6+1,9,7069276,6+0,299,77857,5+1,1449,3000,5+0/4+1,74464,200,4+0/3+1,1381048,10,2+1/1+1/0+1,11660247,5
双色球,2016005,开奖日期：2016-01-12,每周二、四、日21:15开奖,"11,14,18,20,31,33",14,3.48 亿,8.17 亿,6+1,56,5280769,6+0,55,357342,5+1,1274,3000,5+0/4+1,57419,200,4+0/3+1,1123860,10,2+1/1+1/0+1,13035089,5
双色球,2016006,开奖日期：2016-01-14,每周二、四、日21:15开奖,"13,16,18,20,28,31",12,3.58 亿,8.80 亿,6+1,2,10000000,6+0,93,299879,5+1,941,3000,5+0/4+1,54706,200,4+0/3+1,1103775,10,2+1/1+1/0+1,7765497,5
双色球,2016007,开奖日期：2016-01-17,每周二、四、日21:15开奖,"5,12,14,20,27,29",6,3.98 亿,8.64 亿,6+1,11,6279407,6+0,155,113495,5+1,2746,3000,5+0/4+1,125407,200,4+0/3+1,2078955,10,2+1/1+1/0+1,14139776,5
双色球,2016008,开奖日期：2016-01-19,每周二、四、日21:15开奖,"2,15,24,29,32,33",2,3.55 亿,8.93 亿,6+1,5,8931046,6+0,73,336562,5+1,1250,3000,5+0/4+1,63857,200,4+0/3+1,1196540,10,2+1/1+1/0+1,9477771,5
双色球,2016009,开奖日期：2016-01-21,每周二、四、日21:15开奖,"10,14,24,25,27,32",4,3.41 亿,9.38 亿,6+1,3,10000000,6+0,71,348717,5+1,827,3000,5+0/4+1,48945,200,4+0/3+1,991696,10,2+1/1+1/0+1,9184860,5
双色球,2016010,开奖日期：2016-01-24,每周二、四、日21:15开奖,"2,4,12,14,19,25",6,3.59 亿,9.22 亿,6+1,14,6423339,6+0,121,205854,5+1,1284,3000,5+0/4+1,67088,200,4+0/3+1,1278780,10,2+1/1+1/0+1,9252465,5
双色球,2016011,开奖日期：2016-01-26,每周二、四、日21:15开奖,"3,8,10,15,22,29",12,3.33 亿,7.52 亿,6+1,43,5379006,6+0,232,87808,5+1,2133,3000,5+0/4+1,86312,200,4+0/3+1,1408582,10,2+1/1+1/0+1,8786345,5
双色球,2016012,开奖日期：2016-01-28,每周二、四、日21:15开奖,"7,12,14,16,27,32",15,3.37 亿,8.01 亿,6+1,2,10000000,6+0,87,263012,5+1,1144,3000,5+0/4+1,61131,200,4+0/3+1,1178910,10,2+1/1+1/0+1,9188000,5
双色球,2016013,开奖日期：2016-01-31,每周二、四、日21:15开奖,"7,12,21,22,26,31",1,3.70 亿,8.61 亿,6+1,3,10000000,6+0,100,299317,5+1,998,3000,5+0/4+1,54580,200,4+0/3+1,1121679,10,2+1/1+1/0+1,7330500,5
双色球,2016014,开奖日期：2016-02-02,每周二、四、日21:15开奖,"2,8,10,18,20,27",7,3.21 亿,6.68 亿,6+1,45,5259960,6+0,113,129405,5+1,1982,3000,5+0/4+1,95657,200,4+0/3+1,1524660,10,2+1/1+1/0+1,11697676,5
双色球,2016015,开奖日期：2016-02-04,每周二、四、日21:15开奖,"1,2,14,22,25,26",7,3.46 亿,6.92 亿,6+1,5,8614366,6+0,87,259652,5+1,1708,3000,5+0/4+1,58348,200,4+0/3+1,1096505,10,2+1/1+1/0+1,10306428,5
双色球,2016016,开奖日期：2016-02-14,每周二、四、日21:15开奖,"1,20,22,24,25,26",16,3.17 亿,7.21 亿,6+1,5,8896964,6+0,91,267648,5+1,1006,3000,5+0/4+1,48339,200,4+0/3+1,961232,10,2+1/1+1/0+1,7114840,5
双色球,2016017,开奖日期：2016-02-16,每周二、四、日21:15开奖,"5,6,8,20,22,30",5,2.94 亿,6.99 亿,6+1,12,6145307,6+0,189,90897,5+1,1514,3000,5+0/4+1,71890,200,4+0/3+1,1324486,10,2+1/1+1/0+1,8624565,5
双色球,2016018,开奖日期：2016-02-18,每周二、四、日21:15开奖,"12,13,14,17,21,25",4,3.17 亿,7.26 亿,6+1,5,8773854,6+0,81,291192,5+1,1029,3000,5+0/4+1,51325,200,4+0/3+1,1037102,10,2+1/1+1/0+1,7423994,5
双色球,2016019,开奖日期：2016-02-21,每周二、四、日21:15开奖,"6,13,16,17,23,30",10,3.55 亿,4.98 亿,6+1,51,5193713,6+0,231,53459,5+1,4853,3000,5+0/4+1,126171,200,4+0/3+1,1625989,10,2+1/1+1/0+1,13675169,5
