Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,20016,开奖日期：2020-03-28,每周一、三、六21:15开奖,"4,8,19,31,35","1,2",2.36 亿,14.14 亿,5+2,3,10000000,5+1,61,217312,5+0,205,10000,4+2,474,3000,4+1,10194,300,3+2,14383,200,4,27155,100,3+1/2+2,469315,15,"3/
                                    1+2/
                                    2+1/
                                    2",35,35,0,0,0,173849
大乐透,20017,开奖日期：2020-03-30,每周一、三、六21:15开奖,"1,6,7,9,10","2,11",2.21 亿,13.94 亿,5+2,6,8730653,5+1,150,56374,5+0,345,10000,4+2,651,3000,4+1,17414,300,3+2,17708,200,4,42192,100,3+1/2+2,602801,15,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,6984522,1,45099
大乐透,20018,开奖日期：2020-04-01,每周一、三、六21:15开奖,"9,14,16,24,26","4,12",2.30 亿,14.44 亿,5+2,0,0,5+1,69,160807,5+0,151,10000,4+2,451,3000,4+1,11027,300,3+2,17176,200,4,21878,100,3+1/2+2,536831,15,"3/
                                    1+2/
                                    2+1/
                                    2",9,9,0,0,0,128645
大乐透,20019,开奖日期：2020-04-04,每周一、三、六21:15开奖,"1,12,22,23,33","1,12",2.52 亿,14.46 亿,5+2,4,10000000,5+1,65,206046,5+0,260,10000,4+2,675,3000,4+1,11252,300,3+2,17154,200,4,28967,100,3+1/2+2,500695,15,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,2,8000000,2,164836
大乐透,20020,开奖日期：2020-04-06,每周一、三、六21:15开奖,"8,10,12,26,32","5,9",2.29 亿,14.53 亿,5+2,3,10000000,5+1,76,130721,5+0,118,10000,4+2,624,3000,4+1,11624,300,3+2,22098,200,4,24029,100,3+1/2+2,610383,15,"3/
                                    1+2/
                                    2+1/
                                    2",8,8,1,8000000,1,104576
大乐透,20021,开奖日期：2020-04-08,每周一、三、六21:15开奖,"10,12,24,31,33","4,9",2.56 亿,14.18 亿,5+2,9,8087069,5+1,129,94599,5+0,183,10000,4+2,926,3000,4+1,15261,300,3+2,25298,200,4,35808,100,3+1/2+2,657988,15,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,2,6469655,2,75679
大乐透,20022,开奖日期：2020-04-11,每周一、三、六21:15开奖,"4,14,20,28,35","2,3",2.80 亿,14.60 亿,5+2,1,10000000,5+1,85,132699,5+0,282,10000,4+2,755,3000,4+1,15653,300,3+2,26696,200,4,29860,100,3+1/2+2,780079,15,"3/
                                    1+2/
                                    2+1/
                                    2",14,14,0,0,0,106159
大乐透,20023,开奖日期：2020-04-13,每周一、三、六21:15开奖,"4,11,23,26,30","1,6",2.67 亿,14.48 亿,5+2,5,10000000,5+1,76,144157,5+0,181,10000,4+2,1226,3000,4+1,17095,300,3+2,32623,200,4,35334,100,3+1/2+2,807613,15,"3/
                                    1+2/
                                    2+1/
                                    2",11,11,1,8000000,1,115325
大乐透,20024,开奖日期：2020-04-15,每周一、三、六21:15开奖,"3,5,6,24,30","3,7",2.75 亿,14.37 亿,5+2,4,9810302,5+1,143,56756,5+0,202,10000,4+2,1647,3000,4+1,23155,300,3+2,42435,200,4,38533,100,3+1/2+2,1063935,15,"3/
                                    1+2/
                                    2+1/
                                    2",24,24,1,7848241,1,45404
大乐透,20025,开奖日期：2020-04-18,每周一、三、六21:15开奖,"2,14,21,22,26","5,7",2.91 亿,14.42 亿,5+2,5,10000000,5+1,81,158628,5+0,203,10000,4+2,735,3000,4+1,16349,300,3+2,26431,200,4,32081,100,3+1/2+2,813205,15,"3/
                                    1+2/
                                    2+1/
                                    2",22,22,0,0,0,126902
