Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,10001,开奖日期：2010-01-02,每周一、三、六21:15开奖,"2,6,7,12,27","2,8",0.66 亿,0.46 亿,5+2,2,5000000,5+1,33,72700,5+0,50,12071,4+2,330,3000,4+1,4837,500,3+2,18545,200,4,226810,10,3+1/2+2,2050042,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,43620
大乐透,10002,开奖日期：2010-01-04,每周一、三、六21:15开奖,"4,23,25,26,30","7,10",0.59 亿,0.59 亿,5+2,0,0,5+1,8,372352,5+0,26,26519,4+2,104,3000,4+1,2348,500,3+2,9167,200,4,113732,10,3+1/2+2,1288946,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,223411
大乐透,10003,开奖日期：2010-01-06,每周一、三、六21:15开奖,"5,14,23,27,30","2,8",0.60 亿,0.66 亿,5+2,1,5000000,5+1,21,164367,5+0,85,9851,4+2,108,3000,4+1,2545,500,3+2,9903,200,4,101751,10,3+1/2+2,1120376,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,1,3000000,1,98620
大乐透,10004,开奖日期：2010-01-09,每周一、三、六21:15开奖,"3,6,21,24,34","4,6",0.67 亿,0.71 亿,5+2,1,5000000,5+1,45,55470,5+0,74,8785,4+2,226,3000,4+1,4987,500,3+2,15152,200,4,214768,10,3+1/2+2,2030017,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,33282
大乐透,10005,开奖日期：2010-01-11,每周一、三、六21:15开奖,"4,17,19,22,30","2,3",0.60 亿,0.80 亿,5+2,1,5000000,5+1,21,146636,5+0,25,27842,4+2,93,3000,4+1,3039,500,3+2,9515,200,4,128898,10,3+1/2+2,1395958,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,87981
大乐透,10006,开奖日期：2010-01-13,每周一、三、六21:15开奖,"3,13,19,30,34","2,5",0.61 亿,0.89 亿,5+2,1,5000000,5+1,13,259934,5+0,23,35358,4+2,74,3000,4+1,2056,500,3+2,8213,200,4,111742,10,3+1/2+2,1341774,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,155960
大乐透,10007,开奖日期：2010-01-16,每周一、三、六21:15开奖,"7,23,26,29,32","8,11",0.67 亿,0.72 亿,5+2,4,5000000,5+1,45,45047,5+0,77,6509,4+2,388,3000,4+1,7166,500,3+2,22277,200,4,231865,10,3+1/2+2,2055801,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,2,3000000,2,27028
大乐透,10008,开奖日期：2010-01-18,每周一、三、六21:15开奖,"11,23,25,31,32","5,11",0.60 亿,0.76 亿,5+2,1,5000000,5+1,21,117901,5+0,45,13464,4+2,174,3000,4+1,4688,500,3+2,16703,200,4,183875,10,3+1/2+2,1712238,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,70740
大乐透,10009,开奖日期：2010-01-20,每周一、三、六21:15开奖,"2,5,13,27,32","3,11",0.59 亿,0.85 亿,5+2,1,5000000,5+1,18,167305,5+0,41,19962,4+2,105,3000,4+1,3166,500,3+2,11616,200,4,116725,10,3+1/2+2,1249079,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,100383
大乐透,10010,开奖日期：2010-01-23,每周一、三、六21:15开奖,"15,22,24,32,35","2,9",0.64 亿,0.80 亿,5+2,3,5000000,5+1,23,98422,5+0,39,15954,4+2,290,3000,4+1,3754,500,3+2,16340,200,4,195980,10,3+1/2+2,1979576,5,"3/
                                    1+2/
                                    2+1/
                                    2",0,0,0,0,0,59053
