Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2004001,开奖日期：2004-01-01,每周二、四、日21:15开奖,"1,2,3,7,10,25",7,0.67 亿,0.98 亿,6+1,0,0,6+0,13,280673,5+1,233,3000,5+0/4+1,12183,200,4+0/3+1,231342,10,2+1/1+1/0+1,3014617,5
双色球,2004002,开奖日期：2004-01-04,每周二、四、日21:15开奖,"10,12,18,22,30,31",11,0.68 亿,0.83 亿,6+1,4,5000000,6+0,18,120446,5+1,480,3000,5+0/4+1,20859,200,4+0/3+1,328573,10,2+1/1+1/0+1,3468065,5
双色球,2004003,开奖日期：2004-01-08,每周二、四、日21:15开奖,"3,5,6,17,26,33",8,0.68 亿,0.67 亿,6+1,5,5000000,6+0,36,103614,5+1,497,3000,5+0/4+1,20263,200,4+0/3+1,340030,10,2+1/1+1/0+1,2410074,5
双色球,2004004,开奖日期：2004-01-11,每周二、四、日21:15开奖,"10,19,22,23,25,29",9,0.68 亿,0.63 亿,6+1,3,5000000,6+0,11,418708,5+1,247,3000,5+0/4+1,14149,200,4+0/3+1,259640,10,2+1/1+1/0+1,2381712,5
双色球,2004005,开奖日期：2004-01-15,每周二、四、日21:15开奖,"9,11,13,16,17,18",7,0.68 亿,0.41 亿,6+1,7,5000000,6+0,37,152099,5+1,342,3000,5+0/4+1,15258,200,4+0/3+1,283376,10,2+1/1+1/0+1,1526033,5
双色球,2004006,开奖日期：2004-01-18,每周二、四、日21:15开奖,"4,12,18,20,23,32",6,0.70 亿,0.52 亿,6+1,0,0,6+0,22,221349,5+1,346,3000,5+0/4+1,16985,200,4+0/3+1,306181,10,2+1/1+1/0+1,2120257,5
双色球,2004007,开奖日期：2004-01-29,每周二、四、日21:15开奖,"4,12,17,20,25,28",9,0.55 亿,0.59 亿,6+1,1,5000000,6+0,18,285137,5+1,155,3000,5+0/4+1,7873,200,4+0/3+1,163179,10,2+1/1+1/0+1,1278731,5
双色球,2004008,开奖日期：2004-02-01,每周二、四、日21:15开奖,"1,7,10,22,32,33",13,0.57 亿,0.46 亿,6+1,4,5000000,6+0,26,107774,5+1,582,3000,5+0/4+1,18357,200,4+0/3+1,265634,10,2+1/1+1/0+1,2060986,5
双色球,2004009,开奖日期：2004-02-05,每周二、四、日21:15开奖,"1,9,10,16,22,24",11,0.62 亿,0.46 亿,6+1,1,5000000,6+0,15,146095,5+1,289,3000,5+0/4+1,14659,200,4+0/3+1,251903,10,2+1/1+1/0+1,3360298,5
双色球,2004010,开奖日期：2004-02-08,每周二、四、日21:15开奖,"6,7,8,13,14,19",15,0.64 亿,0.25 亿,6+1,6,5000000,6+0,75,51996,5+1,559,3000,5+0/4+1,21293,200,4+0/3+1,334048,10,2+1/1+1/0+1,1813096,5
双色球,2004011,开奖日期：2004-02-12,每周二、四、日21:15开奖,"1,4,13,23,28,30",3,0.65 亿,0.39 亿,6+1,0,0,6+0,3,2060121,5+1,104,3000,5+0/4+1,7357,200,4+0/3+1,162555,10,2+1/1+1/0+1,1550004,5
双色球,2004012,开奖日期：2004-02-15,每周二、四、日21:15开奖,"1,7,27,30,31,33",8,0.63 亿,0.41 亿,6+1,2,5000000,6+0,12,412102,5+1,154,3000,5+0/4+1,9287,200,4+0/3+1,184990,10,2+1/1+1/0+1,2082900,5
双色球,2004013,开奖日期：2004-02-19,每周二、四、日21:15开奖,"12,14,21,29,30,32",13,0.64 亿,0.51 亿,6+1,0,0,6+0,19,235560,5+1,274,3000,5+0/4+1,13048,200,4+0/3+1,244963,10,2+1/1+1/0+1,2147926,5
双色球,2004014,开奖日期：2004-02-22,每周二、四、日21:15开奖,"3,7,11,17,20,26",12,0.64 亿,0.34 亿,6+1,5,5000000,6+0,39,80776,5+1,558,3000,5+0/4+1,23681,200,4+0/3+1,360139,10,2+1/1+1/0+1,2164888,5
双色球,2004015,开奖日期：2004-02-26,每周二、四、日21:15开奖,"1,3,5,18,22,23",13,0.67 亿,0.45 亿,6+1,1,5000000,6+0,17,408345,5+1,127,3000,5+0/4+1,9017,200,4+0/3+1,195876,10,2+1/1+1/0+1,1134586,5
双色球,2004016,开奖日期：2004-02-29,每周二、四、日21:15开奖,"4,7,8,28,30,32",5,0.64 亿,0.56 亿,6+1,0,0,6+0,17,175330,5+1,291,3000,5+0/4+1,12887,200,4+0/3+1,249287,10,2+1/1+1/0+1,1975360,5
