Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,15001,开奖日期：2015-01-03,每周一、三、六21:15开奖,"8,9,19,27,30","6,7",2.17 亿,10.85 亿,5+2,11,6208747,5+1,153,53300,5+0,1252,2360,4+2,45632,200,4+1,756690,10,3+2,6613198,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",27,27,6,3725248,6,31980
大乐透,15002,开奖日期：2015-01-05,每周一、三、六21:15开奖,"3,14,20,26,32","6,10",1.94 亿,10.92 亿,5+2,3,10000000,5+1,90,98741,5+0,930,3800,4+2,29049,200,4+1,536238,10,3+2,4959547,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",20,20,1,6000000,1,59244
大乐透,15003,开奖日期：2015-01-07,每周一、三、六21:15开奖,"12,19,27,28,34","1,12",1.93 亿,10.59 亿,5+2,8,6794760,5+1,59,156326,5+0,572,6547,4+2,17958,200,4+1,384223,10,3+2,3906334,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",34,34,7,4076856,7,93795
大乐透,15004,开奖日期：2015-01-10,每周一、三、六21:15开奖,"3,12,14,18,28","5,6",2.11 亿,10.63 亿,5+2,3,9644205,5+1,40,248150,5+0,750,4846,4+2,24892,200,4+1,495081,10,3+2,4865757,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",14,14,3,5786523,3,148890
大乐透,15005,开奖日期：2015-01-12,每周一、三、六21:15开奖,"11,14,15,18,19","7,8",1.87 亿,10.56 亿,5+2,6,7975072,5+1,69,135230,5+0,633,4953,4+2,25834,200,4+1,493992,10,3+2,5199278,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",19,19,0,0,0,81138
大乐透,15006,开奖日期：2015-01-14,每周一、三、六21:15开奖,"6,8,30,32,33","3,7",1.87 亿,10.62 亿,5+2,2,10000000,5+1,64,122162,5+0,681,4508,4+2,30986,200,4+1,599577,10,3+2,5487165,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",6,6,2,6000000,2,73297
大乐透,15007,开奖日期：2015-01-17,每周一、三、六21:15开奖,"2,7,8,14,31","4,8",2.07 亿,10.85 亿,5+2,2,10000000,5+1,98,77735,5+0,649,5324,4+2,31341,200,4+1,621577,10,3+2,5945732,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,0,0,0,46641
大乐透,15008,开奖日期：2015-01-19,每周一、三、六21:15开奖,"7,10,11,15,17","3,10",1.87 亿,8.39 亿,5+2,54,5350846,5+1,88,85830,5+0,546,6289,4+2,25437,200,4+1,464205,10,3+2,4618702,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",7,7,0,0,0,51498
大乐透,15009,开奖日期：2015-01-21,每周一、三、六21:15开奖,"17,22,26,27,33","6,10",1.88 亿,8.86 亿,5+2,0,0,5+1,55,158591,5+0,490,7690,4+2,21234,200,4+1,394337,10,3+2,4015681,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",17,17,0,0,0,95154
大乐透,15010,开奖日期：2015-01-24,每周一、三、六21:15开奖,"2,6,17,30,35","2,7",2.08 亿,9.23 亿,5+2,1,10000000,5+1,58,166880,5+0,663,5697,4+2,29157,200,4+1,532590,10,3+2,5450990,5,4,0,0,3+1/2+2,0,0,"3/
                                    1+2/
                                    2+1/
                                    2",2,2,0,0,0,100128
