Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,13001,开奖日期：2013-01-02,每周一、三、六21:15开奖,"6,9,11,31,32","5,11",0.83 亿,0.88 亿,5+2,0,0,5+1,18,206504,5+0,57,18303,4+2,150,3000,4+1,3661,600,3+2,13707,100,4,176318,10,3+1/2+2,1929600,5,"3/
                                    1+2/
                                    2+1/
                                    2",11,11,0,0,0,123902
大乐透,13002,开奖日期：2013-01-05,每周一、三、六21:15开奖,"4,20,27,31,32","6,12",0.98 亿,1.08 亿,5+2,0,0,5+1,14,346173,5+0,40,27568,4+2,216,3000,4+1,3687,600,3+2,16450,100,4,216731,10,3+1/2+2,2605090,5,"3/
                                    1+2/
                                    2+1/
                                    2",32,32,0,0,0,207703
大乐透,13003,开奖日期：2013-01-07,每周一、三、六21:15开奖,"1,16,18,21,31","9,12",0.92 亿,1.20 亿,5+2,1,10000000,5+1,29,173939,5+0,53,22405,4+2,117,3000,4+1,3462,600,3+2,13707,100,4,163904,10,3+1/2+2,1909892,5,"3/
                                    1+2/
                                    2+1/
                                    2",18,18,0,0,0,104363
大乐透,13004,开奖日期：2013-01-09,每周一、三、六21:15开奖,"7,8,12,20,25","3,7",0.93 亿,1.02 亿,5+2,4,5949602,5+1,53,55795,5+0,117,6000,4+2,452,3000,4+1,9497,600,3+2,25533,100,4,350139,10,3+1/2+2,2753894,5,"3/
                                    1+2/
                                    2+1/
                                    2",8,8,2,3569761,2,33477
大乐透,13005,开奖日期：2013-01-12,每周一、三、六21:15开奖,"18,22,26,28,31","10,12",1.03 亿,1.24 亿,5+2,0,0,5+1,25,205565,5+0,65,20024,4+2,225,3000,4+1,4755,600,3+2,18047,100,4,220431,10,3+1/2+2,2459996,5,"3/
                                    1+2/
                                    2+1/
                                    2",26,26,0,0,0,123339
大乐透,13006,开奖日期：2013-01-14,每周一、三、六21:15开奖,"8,20,25,31,32","5,7",0.92 亿,1.27 亿,5+2,1,9579253,5+1,42,104370,5+0,104,10210,4+2,238,3000,4+1,5967,600,3+2,20131,100,4,214144,10,3+1/2+2,2201963,5,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,1,5747551,1,62622
大乐透,13007,开奖日期：2013-01-16,每周一、三、六21:15开奖,"14,29,32,33,34","3,6",0.94 亿,1.17 亿,5+2,2,5000000,5+1,87,12000,5+0,214,6000,4+2,1416,3000,4+1,21417,600,3+2,75063,100,4,476524,10,3+1/2+2,3457406,5,"3/
                                    1+2/
                                    2+1/
                                    2",29,29,0,0,0,7200
大乐透,13008,开奖日期：2013-01-19,每周一、三、六21:15开奖,"2,7,25,29,34","3,6",1.03 亿,1.24 亿,5+2,1,10000000,5+1,13,422851,5+0,84,16399,4+2,129,3000,4+1,4265,600,3+2,17807,100,4,211629,10,3+1/2+2,2291558,5,"3/
                                    1+2/
                                    2+1/
                                    2",29,29,1,6000000,1,253710
大乐透,13009,开奖日期：2013-01-21,每周一、三、六21:15开奖,"10,17,19,27,29","5,12",0.92 亿,1.01 亿,5+2,5,5809955,5+1,75,39572,5+0,262,6000,4+2,423,3000,4+1,8781,600,3+2,39096,100,4,278448,10,3+1/2+2,2683662,5,"3/
                                    1+2/
                                    2+1/
                                    2",19,19,2,3485973,2,23743
大乐透,13010,开奖日期：2013-01-23,每周一、三、六21:15开奖,"9,15,17,18,29","9,11",0.93 亿,1.17 亿,5+2,0,0,5+1,34,103430,5+0,62,15185,4+2,198,3000,4+1,5711,600,3+2,18350,100,4,273866,10,3+1/2+2,2779485,5,"3/
                                    1+2/
                                    2+1/
                                    2",9,9,0,0,0,62058
大乐透,13011,开奖日期：2013-01-26,每周一、三、六21:15开奖,"1,2,8,15,23","6,9",1.03 亿,1.17 亿,5+2,3,8253813,5+1,20,268910,5+0,65,21808,4+2,197,3000,4+1,3707,600,3+2,15558,100,4,186733,10,3+1/2+2,2171320,5,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,0,0,0,161346
大乐透,13012,开奖日期：2013-01-28,每周一、三、六21:15开奖,"1,14,31,32,34","2,11",0.90 亿,1.36 亿,5+2,0,0,5+1,11,457265,5+0,41,26754,4+2,183,3000,4+1,4486,600,3+2,18591,100,4,226074,10,3+1/2+2,2152933,5,"3/
                                    1+2/
                                    2+1/
                                    2",31,31,0,0,0,0
大乐透,13013,开奖日期：2013-01-30,每周一、三、六21:15开奖,"13,15,29,30,35","1,11",0.92 亿,1.46 亿,5+2,0,0,5+1,61,43411,5+0,174,6000,4+2,303,3000,4+1,12178,600,3+2,30939,100,4,367575,10,3+1/2+2,2776520,5,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,0,0,0,26046
大乐透,13014,开奖日期：2013-02-02,每周一、三、六21:15开奖,"5,8,25,29,31","2,4",1.03 亿,1.55 亿,5+2,1,10000000,5+1,41,108995,5+0,130,8321,4+2,241,3000,4+1,6999,600,3+2,26321,100,4,260870,10,3+1/2+2,2795132,5,"3/
                                    1+2/
                                    2+1/
                                    2",5,5,0,0,0,65397
大乐透,13015,开奖日期：2013-02-04,每周一、三、六21:15开奖,"14,15,26,32,33","1,11",0.91 亿,1.53 亿,5+2,2,7891600,5+1,22,187018,5+0,94,11623,4+2,232,3000,4+1,5093,600,3+2,20822,100,4,196752,10,3+1/2+2,2101309,5,"3/
                                    1+2/
                                    2+1/
                                    2",26,26,1,4734960,1,112210
大乐透,13016,开奖日期：2013-02-06,每周一、三、六21:15开奖,"5,15,19,27,32","8,9",0.93 亿,1.70 亿,5+2,0,0,5+1,23,185254,5+0,59,16743,4+2,240,3000,4+1,5536,600,3+2,18841,100,4,253331,10,3+1/2+2,2625810,5,"3/
                                    1+2/
                                    2+1/
                                    2",32,32,0,0,0,111152
大乐透,13017,开奖日期：2013-02-16,每周一、三、六21:15开奖,"11,14,22,29,34","5,11",0.93 亿,0.00 亿,5+2,39,4762252,5+1,123,31945,5+0,119,7523,4+2,274,3000,4+1,7424,600,3+2,24516,100,4,263170,10,3+1/2+2,2556376,5,"3/
                                    1+2/
                                    2+1/
                                    2",14,14,0,0,0,19167
大乐透,13018,开奖日期：2013-02-18,每周一、三、六21:15开奖,"20,23,31,33,34","3,9",0.73 亿,0.12 亿,5+2,1,5000000,5+1,48,31860,5+0,86,6000,4+2,456,3000,4+1,7497,600,3+2,28891,100,4,342645,10,3+1/2+2,2642565,5,"3/
                                    1+2/
                                    2+1/
                                    2",23,23,0,0,0,19116
大乐透,13019,开奖日期：2013-02-20,每周一、三、六21:15开奖,"6,12,17,29,30","7,11",0.79 亿,0.18 亿,5+2,1,5000000,5+1,57,45540,5+0,102,6489,4+2,259,3000,4+1,7551,600,3+2,22166,100,4,241988,10,3+1/2+2,2355016,5,"3/
                                    1+2/
                                    2+1/
                                    2",29,29,0,0,0,27324
大乐透,13020,开奖日期：2013-02-23,每周一、三、六21:15开奖,"6,11,20,31,32","5,9",0.91 亿,0.31 亿,5+2,0,0,5+1,33,83353,5+0,63,11181,4+2,585,3000,4+1,6632,600,3+2,27299,100,4,330735,10,3+1/2+2,2909520,5,"3/
                                    1+2/
                                    2+1/
                                    2",32,32,0,0,0,50011
大乐透,13021,开奖日期：2013-02-25,每周一、三、六21:15开奖,"23,24,28,30,33","1,11",0.85 亿,0.43 亿,5+2,1,5000000,5+1,28,142537,5+0,93,10882,4+2,154,3000,4+1,4427,600,3+2,17065,100,4,185198,10,3+1/2+2,2117947,5,"3/
                                    1+2/
                                    2+1/
                                    2",24,24,0,0,0,85522
大乐透,13022,开奖日期：2013-02-27,每周一、三、六21:15开奖,"3,4,13,17,23","3,8",0.86 亿,0.53 亿,5+2,1,5000000,5+1,14,290650,5+0,48,22315,4+2,236,3000,4+1,3686,600,3+2,16568,100,4,207428,10,3+1/2+2,2180055,5,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,1,3000000,1,174390
大乐透,13023,开奖日期：2013-03-02,每周一、三、六21:15开奖,"5,19,24,26,35","5,7",0.94 亿,0.69 亿,5+2,0,0,5+1,36,100825,5+0,51,17568,4+2,344,3000,4+1,5780,600,3+2,21130,100,4,279781,10,3+1/2+2,2845002,5,"3/
                                    1+2/
                                    2+1/
                                    2",35,35,0,0,0,60495
大乐透,13024,开奖日期：2013-03-04,每周一、三、六21:15开奖,"9,12,14,18,24","1,4",0.88 亿,0.85 亿,5+2,1,5000000,5+1,20,258208,5+0,37,30996,4+2,166,3000,4+1,3359,600,3+2,12807,100,4,158981,10,3+1/2+2,1792669,5,"3/
                                    1+2/
                                    2+1/
                                    2",14,14,0,0,0,154924
大乐透,13025,开奖日期：2013-03-06,每周一、三、六21:15开奖,"3,23,25,26,28","10,12",0.89 亿,0.95 亿,5+2,1,5000000,5+1,13,339352,5+0,49,20558,4+2,219,3000,4+1,3676,600,3+2,17420,100,4,203585,10,3+1/2+2,2421160,5,"3/
                                    1+2/
                                    2+1/
                                    2",25,25,1,3000000,1,203611
大乐透,13026,开奖日期：2013-03-09,每周一、三、六21:15开奖,"2,10,16,30,33","5,6",0.97 亿,0.87 亿,5+2,3,5000000,5+1,64,49382,5+0,112,6354,4+2,371,3000,4+1,9306,600,3+2,23943,100,4,353936,10,3+1/2+2,3194080,5,"3/
                                    1+2/
                                    2+1/
                                    2",2,2,2,3000000,2,29629
大乐透,13027,开奖日期：2013-03-11,每周一、三、六21:15开奖,"3,12,14,24,35","3,8",0.88 亿,0.99 亿,5+2,1,5000000,5+1,29,133467,5+0,47,21904,4+2,236,3000,4+1,4714,600,3+2,18206,100,4,227471,10,3+1/2+2,2348597,5,"3/
                                    1+2/
                                    2+1/
                                    2",24,24,0,0,0,80080
