Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2022001,开奖日期：2022-01-02,每周二、四、日21:15开奖,"6,13,15,17,20,21",3,4.47 亿,10.80 亿,6+1,4,10000000,6+0,83,389050,5+1,1268,3000,5+0/4+1,69120,200,4+0/3+1,1351405,10,2+1/1+1/0+1,11787199,5
双色球,2022002,开奖日期：2022-01-04,每周二、四、日21:15开奖,"2,12,21,23,25,31",8,4.09 亿,10.92 亿,6+1,9,7295582,6+0,134,192726,5+1,1411,3000,5+0/4+1,71926,200,4+0/3+1,1403343,10,2+1/1+1/0+1,12856812,5
双色球,2022003,开奖日期：2022-01-06,每周二、四、日21:15开奖,"2,5,16,17,18,30",6,4.10 亿,11.09 亿,6+1,7,7708412,6+0,181,130931,5+1,1968,3000,5+0/4+1,91043,200,4+0/3+1,1577681,10,2+1/1+1/0+1,13280726,5
双色球,2022004,开奖日期：2022-01-09,每周二、四、日21:15开奖,"5,19,24,28,30,32",14,4.41 亿,10.92 亿,6+1,9,6141105,6+0,62,207055,5+1,2173,3000,5+0/4+1,111283,200,4+0/3+1,1920330,10,2+1/1+1/0+1,23391660,5
双色球,2022005,开奖日期：2022-01-11,每周二、四、日21:15开奖,"7,10,12,16,19,31",16,3.89 亿,11.56 亿,6+1,2,10000000,6+0,74,379503,5+1,1112,3000,5+0/4+1,62198,200,4+0/3+1,1300134,10,2+1/1+1/0+1,9851401,5
双色球,2022006,开奖日期：2022-01-13,每周二、四、日21:15开奖,"3,6,9,15,22,31",2,3.90 亿,11.73 亿,6+1,7,7682542,6+0,173,135677,5+1,2173,3000,5+0/4+1,95830,200,4+0/3+1,1681775,10,2+1/1+1/0+1,10924090,5
双色球,2022007,开奖日期：2022-01-16,每周二、四、日21:15开奖,"1,20,22,23,25,28",16,4.18 亿,12.54 亿,6+1,3,10000000,6+0,81,459735,5+1,640,3000,5+0/4+1,46625,200,4+0/3+1,1077232,10,2+1/1+1/0+1,6769528,5
双色球,2022008,开奖日期：2022-01-18,每周二、四、日21:15开奖,"2,3,7,9,20,21",13,3.78 亿,12.96 亿,6+1,3,10000000,6+0,132,179611,5+1,1339,3000,5+0/4+1,79633,200,4+0/3+1,1629158,10,2+1/1+1/0+1,10801916,5
双色球,2022009,开奖日期：2022-01-20,每周二、四、日21:15开奖,"4,15,17,19,25,28",16,3.81 亿,13.76 亿,6+1,1,10000000,6+0,266,112827,5+1,1024,3000,5+0/4+1,57970,200,4+0/3+1,1214030,10,2+1/1+1/0+1,7983998,5
双色球,2022010,开奖日期：2022-01-23,每周二、四、日21:15开奖,"12,18,19,20,21,32",15,4.04 亿,13.96 亿,6+1,7,7878499,6+0,139,181200,5+1,1949,3000,5+0/4+1,89464,200,4+0/3+1,1614980,10,2+1/1+1/0+1,11446890,5
